"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"BlaineLuetkemeyer","573002239470919_1015120645259074","Blaine Luetkemeyer","2017-01-13","2017-01-13 22:22:33","Obamacare has failed and the American people have spoken. It failed individuals, families, and small businesses across our state and Congress has responded to this failure by taking the first steps to repealing this broken law.   The numbers are staggering. Average annual family premiums in the employer sponsored market have increased by roughly $4,300 and now total more than $18,000 annually and individual premiums are up 27 percent. Since 2010, 80 rural hospitals have been forced to close their doors across America - and there are many more closures on the horizon. These numbers, and many more, speak for themselves.   Obamacare is a failure and is on the path to destroying health-care in America. House Republicans will not stand by and let that happen. Today's vote represents the first step in repealing this law and sets in motion the multi-step process of reforming our health-care system to make it work for all Americans.","status",NA,NA,112,92,14,7,0,0,4,23
"BlaineLuetkemeyer","573002239470919_1019842118120260","Blaine Luetkemeyer","2017-01-19","2017-01-19 18:22:49","We are less than 24 hours away from the 58th Presidential Inauguration!   Missourians, if you traveled to D.C. for the inauguration, tag me in your pictures so I can see them all.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1019842118120260/?type=3",NA,74,10,7,2,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1020861714684967","Blaine Luetkemeyer","2017-01-21","2017-01-21 01:42:46","It was an honor to be in attendance at today's 58th Presidential Inauguration. As I sat and listened to President Trump's remarks, it was impossible to not feel uplifted and ready for the new administration to get to work with Congress.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1020861714684967/?type=3",NA,325,35,7,22,1,0,0,11
"BlaineLuetkemeyer","573002239470919_1023215234449615","Blaine Luetkemeyer","2017-01-23","2017-01-23 16:16:04","The valentines are rolling into my district offices! Keep it up, the deadline to submit a valentine to be sent to a veteran is Feb. 1 - hopefully we can break last year's record!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1023215234449615/?type=3",NA,12,0,5,1,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1023448084426330","Blaine Luetkemeyer","2017-01-23","2017-01-23 20:21:20","Proud to, once again, cosponsor the Death Tax Repeal Act. If a small business or farmer in Missouri is already struggling to make ends meet, they should not have to worry about losing the product of their hard-work due to the death of a family member.   As tax reform discussions progress, I will continue to monitor that this bill is included in any final package.","status",NA,NA,158,23,10,7,0,0,0,5
"BlaineLuetkemeyer","573002239470919_1024256547678817","Blaine Luetkemeyer","2017-01-24","2017-01-24 16:08:06","A few minutes ago, I introduced legislation to defund the United Nations' Green Climate Fund.   Just hours before the end of President Obama's term, he sent another $500 million in U.S. taxpayer dollars to the unelected and unaccountable bureaucrats at the United Nations' Green Climate Fund. There has now been $1 billion in contributions over the last 10 months, however, Congress has never authorized or appropriated money for these programs.   Working with President Trump, Congress now has a real opportunity to defund these global warming programs once and for all and I look forward to finally cutting off the previous administration's frivolous slush fund.","status",NA,NA,234,84,52,9,0,3,6,29
"BlaineLuetkemeyer","573002239470919_1024449950992810","Blaine Luetkemeyer","2017-01-24","2017-01-24 20:17:08","Thanks to President Trump, the Keystone XL Pipeline will soon become a reality.   Construction of the pipeline will bring much needed jobs, reduce the dependence on foreign oil, and keep energy costs low for Missourians.","status",NA,NA,150,44,10,9,1,0,4,22
"BlaineLuetkemeyer","573002239470919_1024532590984546","Blaine Luetkemeyer","2017-01-24","2017-01-24 21:53:38","Just walked off the floor after voting in support of the No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act.   Today's vote comes at a time just before thousands of Missourians make their way to Washington to advocate for the rights of the unborn. I am proud to be a voice for the unborn because all life, including the unborn, should be treated with both dignity and respect.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1024532590984546/?type=3",NA,325,58,26,30,0,0,1,13
"BlaineLuetkemeyer","573002239470919_1025596984211440","Blaine Luetkemeyer","2017-01-25","2017-01-25 19:59:51","Today, President Trump signed three executive actions to protect our homeland.   He is directing federal funds towards a U.S.-Mexico border wall and there will be thousands of law enforcement officers deployed across our nation's southern boundary. The President is also stopping federal funds from flowing to sanctuary cities and has initiated a temporary ban on refugees and temporary visas from countries where radical Islamic terrorism is high.   I applaud President Trump for taking these actions to keep America safe.","status",NA,NA,332,67,22,19,0,0,0,30
"BlaineLuetkemeyer","573002239470919_1026594254111713","Blaine Luetkemeyer","2017-01-26","2017-01-26 20:46:59","Happening now: British Prime Minister Theresa May is addressing the House and Senate at the retreat.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1026594254111713/?type=3",NA,16,5,1,1,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1027554097349062","Blaine Luetkemeyer","2017-01-27","2017-01-27 18:30:53","I want to thank everyone attending today’s March for Life. Your dedication to protecting the life of the unborn has not gone unnoticed.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1027549244016214/?type=3",NA,66,12,2,8,1,0,1,0
"BlaineLuetkemeyer","573002239470919_1030416753729463","Blaine Luetkemeyer","2017-01-30","2017-01-30 19:08:00","It was great meeting new people and seeing old friends at the March for Life reception. Thank you to everyone who attended!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1030416393729499/?type=3",NA,39,8,0,1,0,0,0,2
"BlaineLuetkemeyer","573002239470919_1031575160280289","Blaine Luetkemeyer","2017-02-01","2017-02-01 01:06:23","I believe Neil Gorsuch holds the same conservative values that Americans want to see in a Supreme Court Justice. I am confident that Mr. Gorsuch has the highest regard for the United States Constitution and respects that the Supreme Court’s role is to enforce the law, not create it from the bench.","status",NA,NA,240,40,7,12,1,1,0,8
"BlaineLuetkemeyer","573002239470919_1033917250046080","Blaine Luetkemeyer","2017-02-03","2017-02-03 18:43:08","Today’s announcement is a victory for the countless individuals and families across Missouri that would have been priced out of professional financial advice under the DOL’s fiduciary rule.  I heard from constituents across the 3rd District who told me that if the fiduciary rule is implemented as currently drafted, their ability to get timely and important investment advice could make it more difficult to reach their retirement goals and provide for their later years in life. I applaud President Trump for making the decision to press pause on this this harmful rule. We should be encouraging more Americans to save for retirement, not restricting access to the tools that will help our fellow citizens achieve financial independence and security.","status",NA,NA,35,30,0,0,0,0,0,13
"BlaineLuetkemeyer","573002239470919_1036460113125127","Blaine Luetkemeyer","2017-02-06","2017-02-06 14:18:10","Happy birthday to our nation's 40th President Ronald Reagan!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1036460113125127/?type=3",NA,43,7,3,1,1,0,0,0
"BlaineLuetkemeyer","573002239470919_1036538436450628","Blaine Luetkemeyer","2017-02-06","2017-02-06 16:00:19",NA,"photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573002319470911.1073741827.573002239470919/1036537699784035/?type=3",NA,4,3,0,0,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1037801876324284","Blaine Luetkemeyer","2017-02-07","2017-02-07 22:06:09","Earlier today, the House Small Business Committee held the first hearing of the year on the burdens that small businesses face under Obamacare. Watch my exchange with the witnesses that testified today.","video","https://www.facebook.com/BlaineLuetkemeyer/videos/1037801876324284/",NA,18,16,1,1,0,0,0,5
"BlaineLuetkemeyer","573002239470919_1038553816249090","Blaine Luetkemeyer","2017-02-08","2017-02-08 15:24:53","This week is Thank a Farmer Week, and I would like to take time to thank the farmers and ranchers throughout Missouri’s 3rd District. With hard work and long days, America’s farmers continue to keep food prices stable while increasing production. Fun Fact: It takes longer for the average American to make enough money to pay their tax burden then it does for them earn enough to pay for a year's worth of food.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1038553816249090/?type=3",NA,42,9,13,0,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1040223136082158","Blaine Luetkemeyer","2017-02-10","2017-02-10 17:13:52","An emphasis on faith, family, and community runs deep in the 3rd District, and with that, a desire to help those in need, no matter the circumstance. Faith-based organizations provide life assistance such as job training to people in need.  These faith-based organizations are all encompassing and holistic with the assistance they provide. They not only counsel in faith, but exemplify it by their actions, preparing individuals to become self-supporting and assets to their communities. The 3rd District is stronger because of the exceptional work they provide.   Imagine if we were a country without faith. Who would provide these services?","link","http://rsc-walker.house.gov/americawithoutfaith/#MO-03","rsc-walker.house.gov",25,21,3,3,0,0,0,3
"BlaineLuetkemeyer","573002239470919_1043235805780891","Blaine Luetkemeyer","2017-02-14","2017-02-14 14:54:50","President George H.W. Bush and Barbara Bush have been together for more than seven decades. As we celebrate Valentines Day today, I wanted to showcase one of the greatest love stories.","video","https://www.youtube.com/watch?v=qn-gmAnw1BM&feature=youtu.be&utm_source=Speaker.gov+Master+List&utm_campaign=e679e5e78b-EMAIL_CAMPAIGN_2017_02_10&utm_medium=email&utm_term=0_3e173f5a25-e679e5e78b-157375105",NA,67,7,4,2,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1043356722435466","Blaine Luetkemeyer","2017-02-14","2017-02-14 18:17:23","I am pleased to announce that in the second year of the ""Valentines for Veterans"" program, my offices received over 13,000 valentines to be distributed to veterans around the 3rd District!  Thank you to everyone who participated in the program, your time and generosity will not go unnoticed from our men and women who have served our nation.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1043356722435466/?type=3",NA,57,7,2,2,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1043928382378300","Blaine Luetkemeyer","2017-02-15","2017-02-15 14:45:53","The House has been hard at work passing legislation to change the structure in Washington so Americans stop getting the same poor results year after year. Now, the House is committed to targeting specific regulations and stripping them from the books.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1043928382378300/?type=3",NA,29,31,2,2,0,0,0,12
"BlaineLuetkemeyer","573002239470919_1044956692275469","Blaine Luetkemeyer","2017-02-16","2017-02-16 18:07:08","Today I received the ""True Blue"" award for my 100 percent voting record on pro-life legislation. Defending the unborn is not a hard decision, I believe it is our duty, as a society, to speak for those who cannot speak for themselves and allow them the right to be born into this world.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1044956692275469/?type=3",NA,173,45,7,23,0,0,1,10
"BlaineLuetkemeyer","573002239470919_1048926118545193","Blaine Luetkemeyer","2017-02-20","2017-02-20 23:21:21","America’s rich history not only includes events such as the Civil War or when Lewis and Clark set out from St. Louis on the great expedition to explore the West – but it also includes the individuals who were our leaders during these times.  To many students throughout our country, Presidents’ Day is another day off of school. However, this federal holiday, established in 1885 in recognition of President George Washington, celebrates not only the birth of our first president, but stands as a day to celebrate all U.S. presidents past and present.  In the past, I have been asked by students in the 3rd District about who my favorite presidents are. That answer is easy: George Washington and Abraham Lincoln. Two men who selflessly navigated America through their terms and did what was right for our country and its people.  Before becoming our nation’s first president, George Washington demonstrated that he was a great leader during his time as the Commander of the Continental Army, against incredible odds that favored the British Army. General Washington never gave up, and eventually helped the United States win our independence from Great Britain. After his time as Commander of the Continental Army, in 1789 he became the first President of the United States of America under our Constitution. His leadership provided a firm foundation for our country, and he set many standards and precedents that future presidents have strived to maintain.  Then, in 1861, Abraham Lincoln was sworn in as our nation’s 16th president. President Lincoln led our country through its hardest years, the Civil War. However, in doing so, President Lincoln abolished slavery and modernized the economy. President Lincoln also gave one of our country’s most memorable presidential speeches– the Gettsyburg Address. In 272 words, and three minutes in length, President Lincoln asserted that all men are created equal and he defined the war as an effort dedicated to the principles of liberty and equality for all.  Today, Presidents’ Day isn’t just a federal holiday. Across the country, many patriotic and historical groups use February 22 as a day for celebrations and other events. Our deep American history is encouraging and so important for students to know what our country has been through. I encourage parents to tell their children what president they most admire and share their own stories about why. I hope all students continue to study and learn American history and also stay in touch with what is happening each and everyday – it is important to stay informed.","status",NA,NA,28,12,2,0,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1049658721805266","Blaine Luetkemeyer","2017-02-21","2017-02-21 23:11:12","It was a great morning talking with the third graders at South Point Elementary. Their enthusiasm and eagerness to learn made the morning even better. Thank you for having me!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1049658721805266/?type=3",NA,84,13,1,0,0,1,0,0
"BlaineLuetkemeyer","573002239470919_1049715661799572","Blaine Luetkemeyer","2017-02-22","2017-02-22 01:05:13","Today’s announcement from DHS Secretary Kelly is a commonsense decision to enforce the immigration laws of the United States, and goes a long way towards removing dangerous criminal aliens from our country.   Last year, Montgomery County and Kansas City were rocked when an illegal immigrant with a lengthy history of violence killed five individuals in Missouri and Kansas. Those actions prompted me to introduce legislation that would have forced DHS to work with and train local law enforcement to apprehend and detain criminal aliens. I am encouraged that under this guidance the Administration took a similar approach to train local law enforcement officers and give them the necessary authority to protect their communities from criminal aliens.","status",NA,NA,55,17,5,2,0,0,0,3
"BlaineLuetkemeyer","573002239470919_1050856301685508","Blaine Luetkemeyer","2017-02-23","2017-02-23 16:13:09","Thank you Vice President Pence for taking the time to come visit with hard working Missourian’s yesterday. It was an honor to have you in our state.    There’s little doubt that we have one of the most small business friendly administrations in decades. I look forward to working with the Vice President and President Donald J. Trump on rolling back the burdensome regulations that have been hurting small businesses in Missouri and across the United States.","photo","https://www.facebook.com/VicePresidentPence/photos/a.1839893742949642.1073741828.1827861310819552/1843066922632324/?type=3",NA,105,26,0,3,0,0,0,4
"BlaineLuetkemeyer","573002239470919_1054958387941966","Blaine Luetkemeyer","2017-02-28","2017-02-28 20:32:16","Missourians, across the state, can take a deep breath knowing the Administration recognizes that WOTUS is an attack on individual property rights and is an encroachment on the rights of states to regulate the waters within their borders. Today’s announcement starts the process to roll this burdensome rule back and reverse the EPA’s wrongdoings from the previous Administration.","status",NA,NA,71,28,10,5,0,0,3,9
"BlaineLuetkemeyer","573002239470919_1055210437916761","Blaine Luetkemeyer","2017-03-01","2017-03-01 03:46:32","Since being sworn into office, President Trump has been fulfilling the promises he made for the last several months to the American people. Tonight, he expanded on those promises he made and the vision he wants to achieve by working with Congress. Together, we will continue to fight the most harmful aspects of the previous Administration’s work while we also work together to undo regulations, grow our economy, and help all individuals across America.","status",NA,NA,194,35,8,11,0,0,3,13
"BlaineLuetkemeyer","573002239470919_1056492094455262","Blaine Luetkemeyer","2017-03-02","2017-03-02 20:13:28","We all heard that Obamacare ""means more choice, more competition, lower costs for millions of Americans."" Broken promise. Insurers have left the marketplace each year since Obamacare was put into effect, leaving a third of the country, including 96 of Missouri's 114 counties, with only one provider to 'choose' from. So much for choice.   Read my op-ed with Reps. Hartzler, Smith, Long, and Wagner, and Graves by clicking the link.","link","http://www.foxnews.com/opinion/2017/02/22/repairing-our-obamacare-wounds.html","foxnews.com",30,28,2,0,0,0,0,3
"BlaineLuetkemeyer","573002239470919_1060157124088759","Blaine Luetkemeyer","2017-03-07","2017-03-07 13:13:43","The American Health Care Act is here! Get the first look at https://housegop.leadpages.co/healthcare/","link","https://housegop.leadpages.co/healthcare/","housegop.leadpages.co",15,42,15,1,0,1,1,14
"BlaineLuetkemeyer","573002239470919_1061409553963516","Blaine Luetkemeyer","2017-03-08","2017-03-08 20:13:54","It is always great to catch up with Stan Brown who represents the Paralyzed Veterans of America. We discussed many issues that veterans are facing and what Congress can do to help. Thank you for coming to the office and for all that you do!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1061409553963516/?type=3",NA,26,0,2,4,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1061503500620788","Blaine Luetkemeyer","2017-03-08","2017-03-08 22:29:53","Just walked off the House floor after voting in support of the FY17 Department of Defense Appropriations Act which passed 371-48.  This critical bill pays our troops, provides the necessary care for them and their families, and provides our men and women in uniform with the necessary tools to succeed on the battlefield. For the first time in six years, there is a 2.1 percent military pay raise for the men and women bravely defending our country. In addition, there is funding for 14 F/A-18 Super Hornets, which is important to the state of Missouri and our national security.","status",NA,NA,107,22,8,10,2,0,0,1
"BlaineLuetkemeyer","573002239470919_1062323020538836","Blaine Luetkemeyer","2017-03-09","2017-03-09 15:17:06","Great meeting with folks from Missouri Enterprise Manufacturing today - including Reggie from Union and Catie from Palmyra. They updated me on manufacturing in the state and how we can work together to strengthen it.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1062323020538836/?type=3",NA,25,4,0,0,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1063134933790978","Blaine Luetkemeyer","2017-03-10","2017-03-10 13:36:32","“Since the Affordable Care Act was passed, my wife and I have seen two major effects on our health insurance. Premiums have gone up sharply, they are now doubled what they were half a decade ago. Worse than that, our deductibles have gone up sharply.” – Stephen, Osage Beach.  The above statement from an individual in the 3rd District is just one example of the countless stories I have heard about how Obamacare has drastically impacted Americans. These stories have not fallen on deaf ears. My colleagues and I have heard from individuals, families, doctors, and small businesses to craft a replacement that will empower you, not Washington. Over the last several years, House Republicans have continued to make a promise and that is that we will not only repeal Obamacare but we will also replace it with conservative solutions that put families, doctors, and states back in charge.  Obamacare is failing, so I agree with President Trump that the American Health Care Act is a critical first step in saving our country’s health-care system. This legislation will go through as a budget reconciliation bill, which means that a minority of Senators cannot obstruct and block its consideration and passage. Next, Health and Human Services Secretary Tom Price will take administrative action which will stabilize the health insurance market, increase choices, and lower costs. Lastly, Congress will advance additional legislative policies, such as allowing individuals to purchase coverage across state lines, that cannot be included in a reconciliation bill.  So, what is in this bill? I encourage everyone to go to readthebill.gop. On that website, you can find the full text of the legislation. We want everyone to have access to the American Health Care Act so you know what is in it and there are not any secrets.  First and foremost, the American Health Care Act preserves many important protections for patients and their families while making common-sense reforms to provide patients flexibility and reduced costs. This bill ensures coverage for pre-existing conditions, allows young adults to remain on their parents insurance to age 26, keeps the Medicare Part D donut hole closed, blocks federal funds from going to Planned Parenthood, and provides tax relief by getting rid of Obamacare’s worst taxes and ending the individual mandate.  The plan provides Americans access to a portable, monthly tax credit that can be used to buy a health insurance plan that is right for them – not one tied to a government mandated program. It nearly doubles the amount of money people can contribute to Health Savings Accounts and make these accounts more flexible so individuals can use it to purchase things they really need – like over-the-counter medications.  In addition, the American Health Care Act returns power to the states with the biggest entitlement reform in a generation. For the states across the country that expanded Medicaid, this bill phases out the expansion and puts the program on a budget, ending its open-ended funding and showing that entitlements can be reformed and made solvent for future generations. Missouri did not expand Medicaid, so Missourians who qualify for Medicaid will not be impacted.  In the weeks ahead, House Republicans and Congress will consider this plan through an open and transparent process. I have been to many meetings and briefings regarding the American Health Care Act and those will continue as the process moves along. I will continue to keep you informed of what is happening in Congress and if you have any questions, please do not hesitate to contact my offices so they can provide additional information.","status",NA,NA,52,80,10,0,1,0,1,15
"BlaineLuetkemeyer","573002239470919_1066868393417632","Blaine Luetkemeyer","2017-03-14","2017-03-14 17:53:52","I had the opportunity to take a tour of Danuser Machine Company located in Fulton. They have over 90 employees and are currently working on an 11,000 square foot expansion. Danuser is an Original Equipment Manufacturer for over 800 customers, including John Deere. Thank you for taking the time to show me around the factory!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1066868393417632/?type=3",NA,45,6,1,1,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1066917903412681","Blaine Luetkemeyer","2017-03-14","2017-03-14 19:24:36","For the high school students participating in the 2017 Congressional Art Competition, the deadline to submit entries has been pushed back. The date is now April 21. If you have any questions, please call my Jefferson City office at 573-635-7232. Looking forward to seeing all of the artwork!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1066917903412681/?type=3",NA,6,3,0,0,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1067661186671686","Blaine Luetkemeyer","2017-03-15","2017-03-15 18:52:20","Thank you to everyone at Henderson Products, Inc., in Fulton, for showing me around the factory. At Henderson Products, they manufacture a range of equipment products such as snow plows, sand and salt spreaders, and anti-ice systems - that is just to name a few. It's no wonder they have earned the reputation as ""The Dependable Ones.""  UPDATE: The truck in the picture below that Henderson Products is getting ready to work on will be staying here in our own 3rd District - it's future home will be in Franklin County.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1067661186671686/?type=3",NA,17,8,1,0,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1069047119866426","Blaine Luetkemeyer","2017-03-17","2017-03-17 13:34:50","One highlight of my week was meeting with constituents in town who are with the Agriculture Leadership of Tomorrow program. We had a great discussion about ensuring that Missouri's farming and ranching tradition continues into the future.","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1069047119866426/?type=3",NA,16,9,1,1,0,0,0,0
"BlaineLuetkemeyer","573002239470919_1069091806528624","Blaine Luetkemeyer","2017-03-17","2017-03-17 14:36:18","My staff and I are wearing green today - not just for St. Patrick's Day but to spread awareness of the 1.3 million Missourians with arthritis. Thank you to the Arthritis Foundation Missouri for the t-shirt!","photo","https://www.facebook.com/BlaineLuetkemeyer/photos/a.573030519468091.1073741829.573002239470919/1069091806528624/?type=3",NA,47,14,3,3,1,0,0,1
