"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"RepSarbanes","277056462374344_1219860561427258","Congressman John Sarbanes","2017-01-03","2017-01-03 16:09:07","My thoughts on House Republican efforts to eliminate the independent Office of Congressional Ethics.","link","https://sarbanes.house.gov/media-center/press-releases/sarbanes-statement-on-gop-move-to-dismantle-independent-oversight-of","sarbanes.house.gov",145,36,34,5,0,11,10,6
"RepSarbanes","277056462374344_1220065961406718","Congressman John Sarbanes","2017-01-03","2017-01-03 21:21:28","Expanding on my statement from earlier today.","link","https://sarbanes.house.gov/media-center/press-releases/sarbanes-statement-on-gop-reversal-in-attempt-to-terminate-independent","sarbanes.house.gov",178,11,30,17,1,0,0,0
"RepSarbanes","277056462374344_1222503611162953","Congressman John Sarbanes","2017-01-06","2017-01-06 20:43:34","There's still more work to be done, but job growth under this Administration has been historic. Thank you, President Obama!","link","http://money.cnn.com/2017/01/06/news/economy/december-jobs-report-2016/index.html?iid=surge-story-summary","money.cnn.com",203,16,23,22,2,0,0,0
"RepSarbanes","277056462374344_1222505284496119","Congressman John Sarbanes","2017-01-06","2017-01-06 21:58:00","""House Republicans have made it clear that they plan to continue their assault on our nation’s civil servants and to subject hardworking federal employees to the ideological and political whims of Congress.”","link","http://www.huffingtonpost.com/entry/holman-rule_us_586fcc26e4b043ad97e320dc","huffingtonpost.com",39,26,53,0,0,8,5,83
"RepSarbanes","277056462374344_1223363297743651","Congressman John Sarbanes","2017-01-07","2017-01-07 22:13:23","We cannot allow Republicans to #MakeAmericaSickAgain. Hundreds of thousands of Marylanders – and millions of Americans – depend on the Affordable Care Act to get medical care for themselves and their families. Today, I stood alongside Maryland officials, including Senator Ben Cardin, Senator Chris Van Hollen, Democratic Whip Steny Hoyer, Representative Elijah E. Cummings and Dr. Leana Wen, to fight back against the G.O.P.’s attempt to repeal the ACA.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1223362094410438/?type=3",NA,348,41,28,28,0,0,1,1
"RepSarbanes","277056462374344_1224693984277249","Congressman John Sarbanes","2017-01-09","2017-01-09 15:52:48","Honored to attend Howard County’s 42nd Annual Martin Luther King Jr. Memorial Breakfast.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1224693890943925/?type=3",NA,71,1,1,0,0,0,0,0
"RepSarbanes","277056462374344_1225533384193309","Congressman John Sarbanes","2017-01-10","2017-01-10 18:48:50","Repealing the ACA would take health insurance away from thousands of men, women and children in Maryland. #MakeAmericaSickAgain","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1225533384193309/?type=3",NA,26,7,7,1,0,1,13,13
"RepSarbanes","277056462374344_1225561907523790","Congressman John Sarbanes","2017-01-12","2017-01-12 15:58:31","Without the Affordable Care Act, thousands of Marylanders will lose coverage and have to pay more for health care. #ACAWorks","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1225561907523790/?type=3",NA,70,28,47,0,0,3,33,21
"RepSarbanes","277056462374344_1225582957521685","Congressman John Sarbanes","2017-01-12","2017-01-12 20:23:00","85 YEARS AGO TODAY, Hattie Caraway became the first woman elected to the U.S. Senate, paving the way for iconic Senators like U.S. Senator Barbara A. Mikulski. Today, the Senate has more women serving in the chamber than ever before. But with women only representing 21 of 100 Senate seats, we still have more work to do.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1225582957521685/?type=3",NA,97,1,8,7,0,5,0,0
"RepSarbanes","277056462374344_1225634397516541","Congressman John Sarbanes","2017-01-16","2017-01-16 16:26:08","Reflecting on these words today. #MLKDay","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1225634397516541/?type=3",NA,107,2,8,16,0,0,0,0
"RepSarbanes","277056462374344_1226284900784824","Congressman John Sarbanes","2017-01-11","2017-01-11 16:58:42","This morning, I was proud to participate in the Social Security Administration’s 2017 Dr. Martin Luther King, Jr. Commemorative Program in Baltimore.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1226284900784824/?type=3",NA,61,2,1,1,0,0,0,0
"RepSarbanes","277056462374344_1226468440766470","Congressman John Sarbanes","2017-01-11","2017-01-11 21:15:35","Some timely news in light of President-elect Donald J. Trump's press conference today.","link","https://sarbanes.house.gov/media-center/press-releases/sarbanes-appointed-by-leader-pelosi-to-chair-democracy-reform-task-force","sarbanes.house.gov",445,40,37,38,1,0,1,0
"RepSarbanes","277056462374344_1228105707269410","Congressman John Sarbanes","2017-01-13","2017-01-13 15:52:44","A few words on Korean-American Day.","link","https://sarbanes.house.gov/media-center/press-releases/sarbanes-statement-on-korean-american-day","sarbanes.house.gov",20,0,1,0,0,0,0,0
"RepSarbanes","277056462374344_1228106463936001","Congressman John Sarbanes","2017-01-13","2017-01-13 18:05:03","Today, I will vote against the Republican budget resolution that will take healthcare away from 30 million Americans and send national debt soaring to $23.7 trillion. #MakeAmericaSickAgain","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1228106463936001/?type=3",NA,311,52,61,15,0,4,7,21
"RepSarbanes","277056462374344_1228114273935220","Congressman John Sarbanes","2017-01-13","2017-01-13 16:08:05","To President-elect Donald J. Trump and your appointees: We’re going to make sure you are accountable to the American people.","link","http://www.huffingtonpost.com/entry/trump-conflict-of-interest_us_58781253e4b0b3c7a7b093ff","huffingtonpost.com",244,20,17,16,0,0,0,0
"RepSarbanes","277056462374344_1229972163749431","Congressman John Sarbanes","2017-01-15","2017-01-15 17:10:25","This MLK Day, I'm remembering how honored I was to stand with Rep. John Lewis on the Edmund Pettus Bridge in 2015 -- fifty years after the Selma March.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1229972163749431/?type=3",NA,564,38,26,55,0,0,0,0
"RepSarbanes","277056462374344_1230921403654507","Congressman John Sarbanes","2017-01-16","2017-01-16 17:37:45","Glad to be with Mayor Catherine Pugh at the MLK, Jr. Parade in Baltimore.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1230921403654507/?type=3",NA,222,10,4,6,0,0,0,0
"RepSarbanes","277056462374344_1231092283637419","Congressman John Sarbanes","2017-01-16","2017-01-16 21:59:38","At Montgomery County's Annual MLK Birthday Tribute and Celebration. #MLKDay","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1231092283637419/?type=3",NA,36,5,0,0,0,0,0,0
"RepSarbanes","277056462374344_1231112213635426","Congressman John Sarbanes","2017-01-17","2017-01-17 15:43:28","This weekend, I joined Senator Chris Van Hollen and the Maryland Delegation at the National Day of Action Rally to save our health care and stop the Republican plan to #MakeAmericaSickAgain.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1231111296968851/?type=3",NA,176,20,2,8,0,0,0,0
"RepSarbanes","277056462374344_1231291280284186","Congressman John Sarbanes","2017-01-17","2017-01-17 04:02:36","At Anne Arundel County's 36th Annual MLK Memorial Breakfast.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1231291280284186/?type=3",NA,27,0,0,0,0,0,0,0
"RepSarbanes","277056462374344_1231315450281769","Congressman John Sarbanes","2017-01-17","2017-01-17 04:55:58","At the Anne Arundel County Annual Dr. Martin Luther King, Jr. Awards Dinner.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1231314523615195/?type=3",NA,49,1,0,2,0,0,0,0
"RepSarbanes","277056462374344_1232403650172949","Congressman John Sarbanes","2017-01-18","2017-01-18 19:21:00","No surprise here. Way to go, Baltimore Orioles! #Birdland.","link","http://baltimore.cbslocal.com/2017/01/17/camden-yard-named-best-stadium-experience-for-third-year-in-a-row/","baltimore.cbslocal.com",106,2,4,13,0,0,0,0
"RepSarbanes","277056462374344_1232460746833906","Congressman John Sarbanes","2017-01-18","2017-01-18 15:37:42","Last night, I joined Senator Ben Cardin, Maryland Delegation members, community leaders, county executives, leading health providers and nonprofit organizations to discuss the consequences of the Republican plan to #MakeAmericaSickAgain. Yesterday, the independent and nonpartisan Congressional Budget Office estimated that repealing the Affordable Care Act would take away health insurance from 32 million people and cause insurance premiums to double over a ten-year period.","link","https://sarbanes.house.gov/media-center/press-releases/maryland-delegation-and-community-leaders-spotlight-immediate-dangers-of","sarbanes.house.gov",113,13,12,3,0,2,2,7
"RepSarbanes","277056462374344_1232580740155240","Congressman John Sarbanes","2017-01-18","2017-01-18 18:21:58","National Oceanic and Atmospheric Administration (NOAA) and NASA - National Aeronautics and Space Administration just announced that 2016 was the hottest year on record, surpassing the previous records set in 2015 and 2014. And what is the GOP Congress doing about it? The Senate today is holding a confirmation hearing for Donald J. Trump’s pick to lead the EPA – a climate-denying attorney general who has deep links to the oil and gas industry.","link","https://sarbanes.house.gov/media-center/press-releases/sarbanes-statement-on-confirmation-hearing-for-scott-pruitt-as-epa","sarbanes.house.gov",59,15,13,1,0,1,13,25
"RepSarbanes","277056462374344_1234180299995284","Congressman John Sarbanes","2017-01-20","2017-01-20 15:38:11","Thank you, President Obama, for eight years of amazing service to the American people.","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1234180299995284/?type=3",NA,156,3,9,14,1,0,3,0
"RepSarbanes","277056462374344_1236981373048510","Congressman John Sarbanes","2017-01-23","2017-01-23 16:12:00","It was such an honor to participate in the swearing in of officers and executive committee members of the Naacp Howard County MD last week. Thanks for having me!","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1236980629715251/?type=3",NA,77,5,0,4,0,0,0,0
"RepSarbanes","277056462374344_1237427746337206","Congressman John Sarbanes","2017-01-23","2017-01-23 20:27:28","Over the weekend, I was proud to join millions of people in D.C., Baltimore and around the world for the #WomensMarch. As President Barack Obama said, “… That's what we mean when we say America is exceptional. Not that our nation has been flawless from the start, but that we have shown the capacity to change, and make life better for those who follow.”","photo","https://www.facebook.com/RepSarbanes/photos/a.328439293902727.77157.277056462374344/1237426273004020/?type=3",NA,395,27,10,42,0,1,0,0
