"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanGerryConnolly","177164035838_10155360486715839","Congressman Gerry Connolly","2017-01-04","2017-01-04 01:17:37","Sad to hear we lost Prince William Senator Chuck Colgan tonight. A truly kind and honorable man who touched so many lives, mine included.","status",NA,NA,10,3,0,0,0,0,14,0
"CongressmanGerryConnolly","177164035838_10155362205240839","Congressman Gerry Connolly","2017-01-04","2017-01-04 16:54:52","Since the ACA became law, 327,000 Virginians have gained access to health care, the uninsured rate has dropped 31%, and annual and lifetime limits have been eliminated for 2,974,000 people. Today, more than 114,138 seniors have saved an average of $1,015 on prescription drug costs. The GOP proposal, however, would threaten 3,491,076 Virginians who, thanks to the ACA, can no longer be denied coverage due to a pre-existing condition. Plain and simple, the GOP plan would #MakeAmericaSickAgain","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155362205240839/?type=3",NA,136,16,25,7,0,2,0,1
"CongressmanGerryConnolly","177164035838_10155364736205839","Congressman Gerry Connolly","2017-01-05","2017-01-05 14:40:30","On CBS Evening News last night, we made it clear that we will fight for the 20 million Americans who rely on the ACA for access to affordable health care. Anyone who loses his or her health care will know that the Republican repeal vote did that.","video","https://www.facebook.com/CongressmanGerryConnolly/videos/10155364736205839/",NA,126,16,12,9,0,0,1,5
"CongressmanGerryConnolly","177164035838_10155369078465839","Congressman Gerry Connolly","2017-01-06","2017-01-06 22:51:26","Deeply troubling report on Russian interference in election. I'm renewing my call for the House Foreign Affairs Committee to immediately hold a hearing on the issue bit.ly/2hZ2UXM","link","http://bit.ly/2hZ2UXM","bit.ly",198,25,8,10,3,1,0,5
"CongressmanGerryConnolly","177164035838_10155378039840839","Congressman Gerry Connolly","2017-01-09","2017-01-09 20:48:13","National Oceanic and Atmospheric Administration (NOAA) found that 2016 was the second warmest year on record in the U.S., and that a failure to #ActOnClimate poses serious and growing threats to Virginia. During the year, our country experienced 15 weather and climate disasters with losses exceeding $1 billion - the second highest number of incidents in 37 years - causing more than $46 billion in damages.   statesummaries.ncics.org/va","link","http://statesummaries.ncics.org/va","statesummaries.ncics.org",30,3,3,1,2,4,0,1
"CongressmanGerryConnolly","177164035838_10155380671940839","Congressman Gerry Connolly","2017-01-10","2017-01-10 17:04:30","The President of the United States must avoid even the appearance of a conflict of interest. Unfortunately, the President-elect’s vague, and now delayed, twitter promises of a “future plan” fall far short of past practice and our reasonable expectations. I will continue to join Oversight Dems in pushing for congressional hearings into these blatant conflicts.   https://www.youtube.com/watch?v=qtVz62r8sSY","video","https://www.youtube.com/watch?v=qtVz62r8sSY",NA,102,24,13,4,0,0,0,5
"CongressmanGerryConnolly","177164035838_10155381192990839","Congressman Gerry Connolly","2017-01-10","2017-01-10 20:06:31","Honored to be re-elected a co-chair of the Sustainable Energy and Environment Coalition. With the President-elect's choices to head the EPA and Department of Energy harboring such deep anti-environment views, our coalition in Congress is more important now than ever.","status",NA,NA,161,7,4,5,3,0,0,0
"CongressmanGerryConnolly","177164035838_10155381530945839","Congressman Gerry Connolly","2017-01-10","2017-01-10 22:46:48","I want to hear from you. What are your priorities for Congress this year?   https://connolly.house.gov/forms/form/?ID=3","link","https://connolly.house.gov/forms/form/?ID=3","connolly.house.gov",74,32,28,4,0,0,0,1
"CongressmanGerryConnolly","177164035838_10155383973875839","Congressman Gerry Connolly","2017-01-11","2017-01-11 18:20:23","President-elect Trump’s announced plan to avoid any potential conflicts of interests falls far short of what the American public demands. The House Oversight and Government Reform Committee heard expert testimony that made clear the only way to adequately and appropriately protect the integrity of the Office of the President is to immediately divest all interests in the Trump Organization and put those holdings into a blind trust. This plan, devised by Trump’s advisors and not independent groups, doesn’t meet that basic standard, tainting virtually every decision he makes as conflicted.    Even more troublesome, his attempt to tap dance around the Emoluments Clause is an affront to the American public. Given his proven failed record of past promises to many charitable organizations, and his refusal to release his tax filings to back up those claims, there is little confidence he would live up to this promise.","status",NA,NA,141,24,9,0,2,1,1,18
"CongressmanGerryConnolly","177164035838_10155388777905839","Congressman Gerry Connolly","2017-01-12","2017-01-12 17:07:14","Our nation’s highest court is not some “mystical priesthood” that can operate outside of the public view. It is a coequal branch of government and must be accountable to the American public. In today’s digital age, it strains credulity that this modest effort at transparency would prove impossible or somehow inhibit the ability of our Justices to hear cases in a fair manner.   Today, I joined Rep. Ted Poe in reintroducing the Cameras in the Courtroom Act, which would ensure transparency and accountability in the judicial branch by televising open proceedings before the United States Supreme Court.   http://connolly.house.gov/news/documentsingle.aspx?DocumentID=837","link","http://connolly.house.gov/news/documentsingle.aspx?DocumentID=837would","connolly.house.gov",98,7,7,1,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155389038495839","Congressman Gerry Connolly","2017-01-12","2017-01-12 18:48:20","Great to meet with Standing Rock Sioux Chairman Dave Archambault II today. I will continue to stand in solidarity. America owes its native population respect for its sacred, tribal lands.  http://connolly.house.gov/news/documentsingle.aspx?DocumentID=783","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155389038495839/?type=3",NA,88,7,5,17,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155392189330839","Congressman Gerry Connolly","2017-01-13","2017-01-13 15:18:22","Today, I re-introduced with Congressman Chabot the bipartisan Crimea Annexation Non-recognition Act. Congress must be a loud and declarative voice for sovereignty. Failure to stand up against Putin’s illegal annexation of Crimea will set a dangerous and irrevocable precedent. Acquiescence on the part of the U.S. threatens the security of all sovereign nations.   http://connolly.house.gov/news/documentsingle.aspx?DocumentID=838","link","http://connolly.house.gov/news/documentsingle.aspx?DocumentID=838","connolly.house.gov",73,8,4,3,0,2,0,0
"CongressmanGerryConnolly","177164035838_10155392475860839","Congressman Gerry Connolly","2017-01-13","2017-01-13 16:58:14","Chairman Chaffetz has said, even recently, that the role of the House Oversight and Government Reform Committee should be to provide effective oversight, regardless of which Party is in power. I share a  commitment to that goal. Donald Trump’s clear conflicts of interest present an opportunity for the Chairman to turn the page on the partisan witch hunts that defined the previous Congress. Mr. Trump’s current plan to avoid serious conflicts leaves more questions than answers about how insulated he will be from the Trump Organization. I encourage the Chairman to immediately investigate, in full public view, the total scope of these potential conflicts of interests with the same enthusiasm he has demonstrated over the last two years.","status",NA,NA,113,14,5,11,1,0,0,0
"CongressmanGerryConnolly","177164035838_10155395962555839","Congressman Gerry Connolly","2017-01-14","2017-01-14 18:13:23","John Lewis is a hero who has given his life to equal rights. He's been locked up, beaten up, spit on and still never lost his fight.","status",NA,NA,369,29,11,36,2,2,0,1
"CongressmanGerryConnolly","177164035838_10155402409170839","Congressman Gerry Connolly","2017-01-16","2017-01-16 17:51:03","Honoring the life and legacy of a civil rights hero in PWC while witnessing members of the next generation ready to take up the cause #MLKDay","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155402409170839/?type=3",NA,102,3,6,10,1,0,0,1
"CongressmanGerryConnolly","177164035838_10155408571460839","Congressman Gerry Connolly","2017-01-18","2017-01-18 14:00:53","After long reflection I have decided that I cannot attend the inauguration of Donald J Trump on Friday. His behavior and harmful words during and after the campaign have left the country I love with open, bleeding wounds. Instead of binding those wounds, he has poured salt on them. Instead of unifying us, he has reveled in driving wedges between us. His disparagement of an entire religion; his racist rants about minorities; his resurrection of white supremacy; his ridicule of the disabled; his blatant misogyny and boasting of unwanted sexual advances; his intimidation of the press; his repugnant attack on civil rights hero John Lewis; and his disturbing defense of and advocacy for Vladimir Putin - a KGB thug - threaten our democratic institutions. How can I celebrate that? The sordid aspects of his behavior must not become the new normal for America or her presidents.","status",NA,NA,2090,675,364,369,9,1,17,74
"CongressmanGerryConnolly","177164035838_10155412580735839","Congressman Gerry Connolly","2017-01-19","2017-01-19 18:57:46","It is now clear the Office of Government Ethics was ready, willing, and even had a date to meet with the Chairman. The Chairman needs to stop using attacks and erroneous threats against civil servants as a means to distract from the President-elect's obvious conflicts of interest. The Chairman’s about-face on the imperative of oversight is concerning. Open hearings would be a step in restoring the Committee’s credibility on this pressing and important issue.   https://connolly.house.gov/news/documentsingle.aspx?DocumentID=847","link","https://connolly.house.gov/news/documentsingle.aspx?DocumentID=847","connolly.house.gov",143,22,13,3,0,1,1,10
"CongressmanGerryConnolly","177164035838_10155415584925839","Congressman Gerry Connolly","2017-01-20","2017-01-20 18:06:57","A troubling inaugural address. President Trump offered a dark, dystopian, and defiant inaugural speech that begins a new presidency without aspiration or reconciliation. It failed to unify or reach out to the entire nation, and insists on Trump's view of patriotism and triumphalism. Its insistent nationalism can only encourage Moscow and disconcert our allies","status",NA,NA,250,91,33,2,3,2,78,67
"CongressmanGerryConnolly","177164035838_10155418753370839","Congressman Gerry Connolly","2017-01-21","2017-01-21 14:30:14","Great group of Virginians out for today's Women's March on Washington. We will never stop fighting for our values! #WomensMarchOnWashington","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155418753370839/?type=3",NA,667,31,38,106,0,1,0,1
"CongressmanGerryConnolly","177164035838_10155419049330839","Congressman Gerry Connolly","2017-01-21","2017-01-21 16:14:26",NA,"photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10155419049255839.1073741841.177164035838/10155419049330839/?type=3",NA,290,28,12,47,1,0,0,0
"CongressmanGerryConnolly","177164035838_10155428383315839","Congressman Gerry Connolly","2017-01-23","2017-01-23 20:45:11","An across-the-board federal hiring freeze is a mindless way to manage. It fails to differentiate critical from non-critical issues. It fails to take into account the need to actually beef up certain capabilities in the federal government, like cybersecurity. This Executive Order, coupled with many of other anti-federal workforce policies being proposed in Congress, will have a depressing effect on our ability to recruit and retain the next generation of federal workers. This is a far cry from President Kennedy's effort to inspire a new generation to enter public service.","status",NA,NA,327,57,59,2,1,2,34,64
"CongressmanGerryConnolly","177164035838_10155429151990839","Congressman Gerry Connolly","2017-01-23","2017-01-23 23:59:29","As the House’s primary investigative committee, the Oversight and Government Reform Committee has a responsibility to exercise thorough oversight of the Executive Branch, no matter who is in the White House. Our Committee must examine President Trump’s conflicts of interest, his blatant violation of the Emoluments Clause, and the interference in our democratic process by a hostile foreign government. With the leadership of Ranking Member Elijah Cummings, I look forward to working with my Democratic colleagues to ensure that our committee fills this vital role.  https://connolly.house.gov/news/documentsingle.aspx?DocumentID=852","link","https://connolly.house.gov/news/documentsingle.aspx?DocumentID=852","connolly.house.gov",455,58,37,51,0,0,3,1
"CongressmanGerryConnolly","177164035838_10155434284125839","Congressman Gerry Connolly","2017-01-25","2017-01-25 00:39:52","Not even 72 hours after more than 500,000 mothers, daughters, husbands and fathers descended onto our nation's capital in collective opposition to Trump's appalling misogyny, the House majority has chosen to double down on their anti-woman, anti- health care assault. H.R. 7  is yet another attempt by the House Republicans to restrict a woman’s right to choose and put Congress between a woman and her doctor. For the Party that claims to want less government it seems inconsistent, if not hypocritical, to want to inject Congress into the District's affairs. If you're going to be a phony at least be sincere about it.","status",NA,NA,344,73,49,5,1,1,35,133
"CongressmanGerryConnolly","177164035838_10155437207815839","Congressman Gerry Connolly","2017-01-25","2017-01-25 19:24:37","When alternative facts just don’t cut it then censor! Orwell would be proud.  http://www.reuters.com/article/us-usa-trump-epa-climatechange-idUSKBN15906G?feedType=RSS&feedName=politicsNews&utm_source=Twitter&utm_medium=Social","link","http://www.reuters.com/article/us-usa-trump-epa-climatechange-idUSKBN15906G?feedType=RSS&feedName=politicsNews&utm_source=Twitter&utm_medium=Social","reuters.com",69,27,40,0,1,0,22,81
"CongressmanGerryConnolly","177164035838_10155442860985839","Congressman Gerry Connolly","2017-01-27","2017-01-27 14:13:22","Contrary to ""alternative facts"" being spread throughout Congress, our federal workforce accomplishes heroic feats on a daily basis. An across-the-board hiring freeze is not only a mindless way to manage, but it also jeopardizes the contributions our federal workers make. My OpEd in The Hill this week:  http://thehill.com/blogs/congress-blog/the-administration/316165-hiring-freeze-a-mindless-way-to-manage","link","http://thehill.com/blogs/congress-blog/the-administration/316165-hiring-freeze-a-mindless-way-to-manage","thehill.com",234,30,34,16,0,4,0,2
"CongressmanGerryConnolly","177164035838_10155445940750839","Congressman Gerry Connolly","2017-01-28","2017-01-28 15:40:14","President Trump's action slamming the door on refugees is a terrible step that will be remembered‎ like other racial measures like Chinese exclusion laws and Japanese internment. It is hateful and unAmerican. We must speak out before it's too late.","status",NA,NA,593,89,45,13,0,1,33,58
"CongressmanGerryConnolly","177164035838_10155447500120839","Congressman Gerry Connolly","2017-01-29","2017-01-29 02:34:47","I'm calling on United States Department of Homeland Security to release two of my constituents who are being unconstitutionally detained at Dulles Airport. Ahmad Mohedian, Noury Hozemi and others must be freed immediately. #NoBanNoWall","status",NA,NA,1398,75,140,126,1,4,6,59
"CongressmanGerryConnolly","177164035838_10155447651485839","Congressman Gerry Connolly","2017-01-29","2017-01-29 04:15:48","Pleased to say that Ahmad Mohedian and Noury Hozemi have been released and are heading home to Virginia's 11th district, where we welcome immigrants and refugees from all corners of the globe and from every faith and creed. #resist","status",NA,NA,1760,88,103,262,0,3,0,0
"CongressmanGerryConnolly","177164035838_10155449437665839","Congressman Gerry Connolly","2017-01-29","2017-01-29 18:16:52","I'll be joining CASA at 3:00 at Dulles to stand up to Trump's unconstitutional Executive Order.","status",NA,NA,540,68,23,67,2,0,0,0
"CongressmanGerryConnolly","177164035838_10155449681425839","Congressman Gerry Connolly","2017-01-29","2017-01-29 19:46:42","Demanding to speak with detainees at Dulles Airport with Congressman Don Beyer and Rep. Raskin","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10152455223025839.1073741827.177164035838/10155449677730839/?type=3",NA,913,91,123,96,1,1,0,7
"CongressmanGerryConnolly","177164035838_10155449758510839","Congressman Gerry Connolly","2017-01-29","2017-01-29 20:18:07","Today we are all refugees. We will fight this unconstitutional Executive Order.","video","https://www.facebook.com/CongressmanGerryConnolly/videos/10155449758510839/",NA,519,45,30,60,1,0,0,0
"CongressmanGerryConnolly","177164035838_10155450143770839","Congressman Gerry Connolly","2017-01-29","2017-01-29 22:42:48","https://twitter.com/yjtorbati/status/825796385513598976","video","https://twitter.com/yjtorbati/status/825796385513598976",NA,99,35,21,11,0,6,0,1
"CongressmanGerryConnolly","177164035838_10155454281040839","Congressman Gerry Connolly","2017-01-31","2017-01-31 02:52:56","You're wrong Mr Trump. This is about core American values and the rule of law.  https://www.washingtonpost.com/world/national-security/acting-attorney-general-an-obama-administration-holdover-wont-defend-trump-immigration-order/2017/01/30/a9846f02-e727-11e6-b82f-687d6e6a3e7c_story.html?utm_term=.43833dc091f9&wpisrc=al_alert-COMBO-politics%252Bnation","link","https://www.washingtonpost.com/world/national-security/acting-attorney-general-an-obama-administration-holdover-wont-defend-trump-immigration-order/2017/01/30/a9846f02-e727-11e6-b82f-687d6e6a3e7c_story.html?utm_term=.43833dc091f9&wpisrc=al_alert-COMBO-politics%252Bnation","washingtonpost.com",282,66,58,22,1,6,10,101
"CongressmanGerryConnolly","177164035838_10155456472755839","Congressman Gerry Connolly","2017-01-31","2017-01-31 16:46:46","Joined Univision Noticias last night to discuss Trump's unconstitutional immigration ban.","video","https://www.facebook.com/CongressmanGerryConnolly/videos/10155456472755839/",NA,43,7,1,3,2,0,0,0
"CongressmanGerryConnolly","177164035838_10155457244225839","Congressman Gerry Connolly","2017-01-31","2017-01-31 21:52:52","For too long Republicans have bullied our federal workforce, falsely painting the civil servant as the scapegoat for all our country's problems. They’ve endured shutdowns and furloughs, attacks on pay and benefits, and an across-the-board hiring freeze. Their hard work was questioned. Now, thanks to the Armageddon Rule, even individual positions could be on the congressional chopping block. This is no way to treat a workforce. The FAIR Act is a matter of justice. Federal employees work hard, serve honorably, and they deserve fair compensation.  https://connolly.house.gov/news/documentsingle.aspx?DocumentID=858","link","https://connolly.house.gov/news/documentsingle.aspx?DocumentID=858","connolly.house.gov",310,22,28,37,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155457726320839","Congressman Gerry Connolly","2017-02-01","2017-02-01 01:47:26","Gorsuch's nomination is a tragedy for equal rights in America. His will be a reactionary voice on SCOTUS if confirmed. He must not be confirmed.","status",NA,NA,223,60,5,11,2,3,3,19
"CongressmanGerryConnolly","177164035838_10155459022175839","Congressman Gerry Connolly","2017-02-01","2017-02-01 14:39:56","Yesteday, I joined fellow House Committee on Foreign Affairs Democrats in sending a letter to President Trump condemning his Press Secretary's comments that diplomats who disagree with Administration policy should “get with the program or they should go.” State Department personnel who dissent from policy are protected by law and shouldn't be harassed by the Administration.  https://connolly.house.gov/news/documentsingle.aspx?DocumentID=860","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155459010275839/?type=3",NA,401,44,35,35,1,1,0,0
"CongressmanGerryConnolly","177164035838_10155462133010839","Congressman Gerry Connolly","2017-02-02","2017-02-02 14:33:31","#TBT for #blackhistorymonth to our Civil Rights Archive project. We must remember those who fought for civil rights and equality.   http://ethnography.gmu.edu/collections/the-northern-virginia-civil-rights-archive","link","http://ethnography.gmu.edu/collections/the-northern-virginia-civil-rights-archive","ethnography.gmu.edu",44,1,1,4,0,2,0,0
"CongressmanGerryConnolly","177164035838_10155469091325839","Congressman Gerry Connolly","2017-02-04","2017-02-04 17:32:38","Great crowd at Mount Vernon High School today for the 30th Annual Mount Vernon Town Hall Meeting! A poignant reminder of the strong sense of community that exists here in Fairfax County.","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10152455223025839.1073741827.177164035838/10155469091220839/?type=3",NA,78,4,1,5,0,0,1,0
"CongressmanGerryConnolly","177164035838_10155475510485839","Congressman Gerry Connolly","2017-02-06","2017-02-06 19:45:59","Delighted to meet with Cub Scout Pack 1864 from Wakefield Forest Elementary School. Great questions from these future leaders.","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155475510485839/?type=3",NA,56,2,2,0,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155476348380839","Congressman Gerry Connolly","2017-02-07","2017-02-07 01:00:42","Important and appropriate transparency that's lacking in SCOTUS. Good for 9th circuit. #WAvTrump  http://cdn.ca9.uscourts.gov/datastore/general/2017/02/06/17-35105%20argument%20stream.pdf","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155476348380839/?type=3",NA,90,11,16,1,0,0,0,3
"CongressmanGerryConnolly","177164035838_10155478694795839","Congressman Gerry Connolly","2017-02-07","2017-02-07 19:25:25","The law requires any agency using a nondisclosure policy, form, or agreement to post the statement on the agency website alone with relevant Executive Orders and statutes. I have requested all forms, policies, instructions and agreements that purport to limit the ability of current or former employees to communicate with Congress, as well as a detailed statement of all efforts each agency has taken to post the “anti-gag” provision on its website.   https://connolly.house.gov/news/documentsingle.aspx?DocumentID=872","link","https://connolly.house.gov/news/documentsingle.aspx?DocumentID=872","connolly.house.gov",144,9,9,7,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155482484775839","Congressman Gerry Connolly","2017-02-08","2017-02-08 22:36:28","Today, I joined House Oversight Democrats in sending a letter to GSA seeking unredacted and complete documents regarding how the GSA is addressing President Trump’s apparent breach of the Old Post Office lease agreement.   https://connolly.house.gov/news/documentsingle.aspx?DocumentID=877","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155482484630839/?type=3",NA,273,29,14,20,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155484919280839","Congressman Gerry Connolly","2017-02-09","2017-02-09 19:19:45","Kellyanne Conway's infomercial today is a new low even for this Administration. There is no respect for avoiding conflicts of interest from President Trump on down.","status",NA,NA,217,33,3,1,0,1,3,40
"CongressmanGerryConnolly","177164035838_10155485568365839","Congressman Gerry Connolly","2017-02-09","2017-02-09 23:39:26","Tonight the 9th Circuit Court saved the rule of law in America. Trump's unconstitutional refugee ban and discriminatory immigration block are stopped. Unanimously Donald. #NoBanNoWall","status",NA,NA,288,24,4,43,0,0,0,2
"CongressmanGerryConnolly","177164035838_10155498469550839","Congressman Gerry Connolly","2017-02-14","2017-02-14 04:12:25","Resignation of NSC advisor Michael Flynn raises as many questions as it answers. Patriotism demands allegiance to U.S. not its adversary, Russia","status",NA,NA,257,27,11,16,0,3,0,2
"CongressmanGerryConnolly","177164035838_10155500062100839","Congressman Gerry Connolly","2017-02-14","2017-02-14 16:49:27","Nearly 3 million visitors, including many Northern Virginians, tour the White House each year, yet the Trump Administration still has not fully staffed the White House Visitors Office.Yesterday I joined other Democrats in sending a letter to President Trump urging him to swiftly resume White House tours.","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155500044405839/?type=3",NA,78,20,5,0,0,0,1,2
"CongressmanGerryConnolly","177164035838_10155500810430839","Congressman Gerry Connolly","2017-02-14","2017-02-14 20:56:54","Kellyanne Conway’s infomercial for President Trump’s daughter was an egregious violation of the federal Standards of Conduct. This dereliction of basic ethical conduct from a senior Administration official is behavior that has come to characterize the Trump White House. I applaud the U.S. Office of Government Ethics’ action today and urge the White House Counsel to investigate immediately this unacceptable behavior and exercise appropriate discipline.","status",NA,NA,309,26,12,12,0,1,0,10
"CongressmanGerryConnolly","177164035838_10155504756210839","Congressman Gerry Connolly","2017-02-15","2017-02-15 23:31:14","The question of Russian influence on our politics and our government is one of the gravest crises to face the United States since Watergate in terms of its ability and potential to destabilize our system of government and the public confidence in the new president and his team. Congress must put together a bipartisan commission, perhaps even bicameral, to look into this issue.  http://wtop.com/government/2017/02/va-congressman-calls-for-investigation-into-russian-influence-in-us/","link","http://wtop.com/government/2017/02/va-congressman-calls-for-investigation-into-russian-influence-in-us/","top.com",356,56,27,22,0,3,0,0
"CongressmanGerryConnolly","177164035838_10155508084275839","Congressman Gerry Connolly","2017-02-16","2017-02-16 17:31:41","Today, the National Capital Region congressional delegation released the following statement after introducing a joint resolution to establish the Washington Metrorail Safety Commission:  ""Recognizing that safety is of upmost importance to the Metro system, today we introduced a joint resolution to give Congressional consent to establish the Washington Metrorail Safety Commission. Friday’s decision by the Federal Transit Administration to withhold transit funds from Maryland, Virginia, and the District of Columbia stresses the immediate need to quickly enact this legislation. This resolution highlights the willingness and readiness of Congress to work together to establish the Safety Commission, and we call on the Maryland and Virginia General Assemblies to follow action taken by the Council of the District of Columbia to enact this legislation without delay.""   https://connolly.house.gov/news/documentsingle.aspx?DocumentID=890","link","https://connolly.house.gov/news/documentsingle.aspx?DocumentID=890","connolly.house.gov",17,0,1,2,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155531188085839","Congressman Gerry Connolly","2017-02-23","2017-02-23 18:44:28","Joined Whip Hoyer, U.S. Senator Tim Kaine, Senator Mark Warner, Senator Ben Cardin, Chris Van Hollen, Congressman Don Beyer, Eleanor Holmes Norton, Congressman John K. Delaney, Congressman John Sarbanes, Rep. Jamie Raskin and Anthony G. Brown in today's Roll Call OpEd on how we are working to get Metro back on track.  http://www.rollcall.com/news/opinion/getting-metro-safety-back-track#sthash.3ftFTTsH.dpuf","link","http://www.rollcall.com/news/opinion/getting-metro-safety-back-track#sthash.3ftFTTsH.dpuf","rollcall.com",30,1,1,1,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155543259300839","Congressman Gerry Connolly","2017-02-27","2017-02-27 20:11:35","The rise of antisemitism, including today's threats, is troubling and anti-American. We must stand together against all forms of hate.","status",NA,NA,209,15,9,5,0,0,11,0
"CongressmanGerryConnolly","177164035838_10155543788955839","Congressman Gerry Connolly","2017-02-28","2017-02-28 00:23:31","Right now on the House floor Democrats are forcing a vote that would require the House Ways and Means Committee to request President Trump's tax returns. Every other modern President has shared their returns. President Trump should be no different.","status",NA,NA,978,79,55,77,7,2,0,1
"CongressmanGerryConnolly","177164035838_10155545866250839","Congressman Gerry Connolly","2017-02-28","2017-02-28 19:27:19","My guest for tonight's joint session will be Farah Al-Khafaji. Farah is the sister of an Iraqi interpreter who was initially refused entry into the United States because of President Trump’s executive order on immigration. In addition, Farah's first husband was killed for working with the U.S. military in Iraq. Today, she now lives in Northern Virginia, is a military spouse, and passed her U.S. citizenship test last month.   President Trump's executive order would ban heroes like Farah and her brother from entering our country. They served side-by-side with American soldiers. Their service should be honored, not second guessed. They are patriots.  https://www.washingtonpost.com/local/virginia-politics/democrats-in-congress-use-speech-invites-to-rile-trump/2017/02/28/d7601e40-fdc9-11e6-8f41-ea6ed597e4ca_story.html?utm_term=.2035c44e3e92","link","https://www.washingtonpost.com/local/virginia-politics/democrats-in-congress-use-speech-invites-to-rile-trump/2017/02/28/d7601e40-fdc9-11e6-8f41-ea6ed597e4ca_story.html?utm_term=.2035c44e3e92","washingtonpost.com",323,14,19,32,4,1,1,0
"CongressmanGerryConnolly","177164035838_10155547962085839","Congressman Gerry Connolly","2017-03-01","2017-03-01 13:40:02","Farah is an American hero. Her family worked for and protected American troops. Glad Farah's story could be shared last night.","video","https://www.facebook.com/CongressmanGerryConnolly/videos/10155547962085839/",NA,34,1,2,4,0,0,0,0
"CongressmanGerryConnolly","177164035838_10155550822160839","Congressman Gerry Connolly","2017-03-02","2017-03-02 12:32:02","Paul Manafort, Michael Flynn and now Attorney General Sessions. Each day there are more troubling revelations that make clear senior level Trump officials had direct contact with the Russians. Even more concerning, each of these individuals were willing to lie about those meetings. We need answers immediately. Congress must launch an independent investigation.","status",NA,NA,376,38,26,8,0,8,0,22
"CongressmanGerryConnolly","177164035838_10155551702775839","Congressman Gerry Connolly","2017-03-02","2017-03-02 19:01:33","Federal employees are not a punching bag. They protect and serve the public. It's a noble calling. They deserve our respect. Great to rally with NTEU members in support of the FAIR Act!","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155551702775839/?type=3",NA,116,5,5,10,0,0,0,3
"CongressmanGerryConnolly","177164035838_10155552348695839","Congressman Gerry Connolly","2017-03-02","2017-03-02 23:27:11","We had 79 hearings on the Affordable Care Act before we voted. It was posted publicly. Right now the House GOP plan is locked in a secret room and they don't even know how much it will cost, or how many Americans will lose their coverage.    https://www.bloomberg.com/politics/articles/2017-03-01/republicans-hide-latest-obamacare-draft-under-shroud-of-secrecy","link","https://www.bloomberg.com/politics/articles/2017-03-01/republicans-hide-latest-obamacare-draft-under-shroud-of-secrecy","bloomberg.com",44,21,35,0,0,9,6,89
"CongressmanGerryConnolly","177164035838_10155555355650839","Congressman Gerry Connolly","2017-03-03","2017-03-03 17:34:05","An attack on one faith is an attack on all faiths. We must stand together against all acts of hate. Proud to join Northern Virginia leaders in solidarity at Jewish Community Center of Northern Virginia","photo","https://www.facebook.com/CongressmanGerryConnolly/photos/a.10150132928015839.296644.177164035838/10155555355650839/?type=3",NA,136,4,5,11,0,0,0,0
