"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repjimrenacci","187639524595278_1678989738793575","Congressman Jim Renacci","2017-01-01","2017-01-01 05:00:00","I would like to wish everyone a very happy New Year. Let's work to make 2017 a great year for all Americans!","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1678989738793575/?type=3",NA,34,5,4,0,0,0,0,0
"repjimrenacci","187639524595278_1708583659167516","Congressman Jim Renacci","2017-01-03","2017-01-03 22:23:32","I'm honored to serve the people of Ohio's 16th District yet again. Thank you for the opportunity to represent you in Washington!","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1708583659167516/?type=3",NA,176,17,7,5,0,0,0,0
"repjimrenacci","187639524595278_1713079098717972","Congressman Jim Renacci","2017-01-05","2017-01-05 15:06:05","Outgoing presidential administrations frequently rush to enact high-cost and politically-driven rules and regulations – often called “midnight rules” – during their last days and months in office to entrench their agenda. This Administration is no different. Yesterday, I voted for the Midnight Rules Relief Act to stop the Administration’s latest rules, which avoid transparency and circumvent the will of millions of voters who demanded change.   We must roll back harmful regulations like the Stream Protection Rule, which will destroy Ohio’s coal industry and thousands of good-paying jobs with it. The current administration must honor the direction our country chose for itself in the election.","status",NA,NA,67,22,5,1,0,0,0,2
"repjimrenacci","187639524595278_1715113168514565","Congressman Jim Renacci","2017-01-06","2017-01-06 15:00:55","Ohio is the state with the most U.S Presidents. How many Presidents have we produced? #OHinauguraltrivia #14days","status",NA,NA,7,8,0,0,0,0,0,0
"repjimrenacci","187639524595278_1715119581847257","Congressman Jim Renacci","2017-01-08","2017-01-08 16:07:43","Which Ohioan was the first president to use telephones in his presidential campaign? #OHinauguraltrivia #12days","status",NA,NA,2,3,0,0,0,0,0,0
"repjimrenacci","187639524595278_1715195735172975","Congressman Jim Renacci","2017-01-06","2017-01-06 14:30:00","Yesterday, I voted to stand with one of our truest allies. The House passed H.Res. 11, a resolution I cosponsored that condemns the UN’s anti-Israel Resolution 2334. As Israel is one of the only democracies in the Middle East, we must stand up for what is right and reject the UN’s biased views and pronouncements on one of our closest friends. The United States must not let the U.N. take any further actions against Israel at the Paris Conference on the Israeli-Palestinian conflict scheduled for January 15th.  Looking to the future, it is my hope that the Trump Administration and subsequent administrations recognize and commit themselves to the bond we share with Israel and move to veto any U.N. resolution inserting itself into the peace process. A durable and sustainable peace agreement between Israel and the Palestinians will come only through direct bilateral negotiations between the parties.  #StandWithIsrael","status",NA,NA,109,20,10,17,0,0,0,1
"repjimrenacci","187639524595278_1715789661780249","Congressman Jim Renacci","2017-01-06","2017-01-06 18:24:37","The United States has a national debt that is fast approaching $20 trillion. This resolution would require the Comptroller General to address a joint session of Congress on our country’s fiscal health and financial position to promote greater awareness of its long-term financial constraints.  Click the link below to read my press release on this resolution.","link","http://renacci.house.gov/index.cfm/press-releases?ID=669AEE12-2D24-430C-8CAC-244C4806241E","renacci.house.gov",27,3,4,0,0,0,0,0
"repjimrenacci","187639524595278_1721219241237291","Congressman Jim Renacci","2017-01-09","2017-01-09 17:27:28","Which Ohioan was the president who started the traditional Easter egg roll on the White House lawn? #OHinauguraltrivia #11days","status",NA,NA,3,2,0,0,0,0,0,0
"repjimrenacci","187639524595278_1721228047903077","Congressman Jim Renacci","2017-01-09","2017-01-09 18:43:00","This morning, my staff spoke to the Career Connections - Tri County ESC board concerning congressional youth programs. Bryan presented information on military academy nominations, The Congressional Award, the Congressional Art Competition, Visions of the Future and the Library of Congress Veterans History Project. The U.S. House of Representatives offers many opportunities for high school students. It’s always great to speak with educators concerning these programs.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1721227887903093/?type=3",NA,8,0,0,0,0,0,0,0
"repjimrenacci","187639524595278_1721462584546290","Congressman Jim Renacci","2017-01-09","2017-01-09 19:49:37","The Bipartisan Working Group is one of my proudest achievements as a congressman. It is imperative the two parties work together to fix our nation's problems. We need bipartisanship now more than ever, and I'm looking forward to working with Congressman Derek Kilmer and other members of the Bipartisan Working Group.","link","http://renacci.house.gov/index.cfm/press-releases?ID=2330FDA2-1144-4DA0-AC58-E0822E92685F","renacci.house.gov",23,2,0,0,0,0,0,0
"repjimrenacci","187639524595278_1721527191206496","Congressman Jim Renacci","2017-01-09","2017-01-09 22:30:00","Tonight, my office will be one of many offices on Capitol Hill displaying a blue tealight in their windows.   January 9th is National Law Enforcement Appreciation Day. Last year, 135 law enforcement officers died in the line of duty, the highest number in 5 years.   I am proud to show my support for our men and women in blue who risk their lives daily to ensure our safety and to honor those 135 who made the ultimate sacrifice for their communities.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1721527191206496/?type=3",NA,38,0,11,3,0,0,0,0
"repjimrenacci","187639524595278_1723218651037350","Congressman Jim Renacci","2017-01-10","2017-01-10 14:33:56","Today, let us pause to remember Jason “Catdog” Manse and all those who have bravely defended our great nation. Jason flew 50 combat missions over Iraq during Operations Southern Watch and Iraqi Freedom. He was a flight instructor with Training Squadron 86 - Sabrehawks and trained those who would follow in his footsteps. May we never forget the men and women who gave their lives serving our nation.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1723215891037626/?type=3",NA,112,16,42,15,0,0,14,0
"repjimrenacci","187639524595278_1723227891036426","Congressman Jim Renacci","2017-01-12","2017-01-12 16:26:59","As a member of Congress, I am privileged to assist my constituents with inquiries to federal agencies. I received a letter from a 92 year old WWII Veteran from North Canton who I was able to assist getting hearing aids from the VA. He wrote to tell me how happy and excited he was to be able to speak on a telephone and to watch television. He said,   “With hearing loss people do not understand what it is like. You are isolated, you can’t join in conversations, you appear stupid, meetings and church are difficult, and for me being a teacher it was especially difficult. Please know I will never forget what the Congressman has done to help this WWII Veteran have a better and happier life for the remaining time left for me.”   If you know of anyone having difficulties with a federal agency such as the VA, please direct them to my offices. While I cannot always guarantee a favorable outcome, I am pleased to help my constituents on these matters.","status",NA,NA,41,7,4,6,0,0,0,0
"repjimrenacci","187639524595278_1723427391016476","Congressman Jim Renacci","2017-01-10","2017-01-10 16:25:43","Which Ohioan was the only person in history to be a Representative, Senator-elect, and President-elect at once? #OHinauguraltrivia #10days","status",NA,NA,1,6,0,0,0,0,0,0
"repjimrenacci","187639524595278_1723657920993423","Congressman Jim Renacci","2017-01-10","2017-01-10 18:50:40","Last night, my staff attended the Rocky River City Council meeting where they met for the first time in 2017. The council quickly passed a number of ordinances and looked ahead to future projects. Rocky River is located approximately 9 miles west of downtown Cleveland, Ohio. #OH16","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1723657920993423/?type=3",NA,4,0,1,0,0,0,0,0
"repjimrenacci","187639524595278_1725633024129246","Congressman Jim Renacci","2017-01-11","2017-01-11 14:39:36","Check out my op-ed on the need for bipartisanship that ran in this morning's edition of The Hill. We cannot shape our future as Americans if we don't stop to listen to voices other than our own. We must strive to find consensus where we can to enact meaningful change for the American people.","link","http://www.thehill.com/opinion/op-ed/313617-working-together-to-confront-countrys-most-pressing-issues","thehill.com",16,12,3,0,0,0,0,2
"repjimrenacci","187639524595278_1725857354106813","Congressman Jim Renacci","2017-01-11","2017-01-11 16:38:12","My staff is at the North Canton Area Chamber of Commerce (121 S. Main Street, North Canton) with the Cleveland VA Medical Center, Stark County Veterans' Service Commission, and Stark County Recorder Rick Campbell. The recorder is doing veteran ID cards and my office is answering questions about VA benefits.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1725853824107166/?type=3",NA,10,0,0,0,0,0,0,0
"repjimrenacci","187639524595278_1725902070769008","Congressman Jim Renacci","2017-01-11","2017-01-11 17:02:42","Which Ohio president had a size 14 shoe and started college at 14? #OHinauguraltrivia #9days","status",NA,NA,1,2,0,0,0,0,0,0
"repjimrenacci","187639524595278_1726602534032295","Congressman Jim Renacci","2017-01-11","2017-01-11 22:36:41","We must pause to remember the victims of human trafficking. And then we must act to end it. #HumanTraffickingAwarenessDay","status",NA,NA,24,1,3,2,0,0,2,0
"repjimrenacci","187639524595278_1728974350461780","Congressman Jim Renacci","2017-01-12","2017-01-12 17:31:32","Which Ohioan was the last president to have facial hair while in office? #OHinauguraltrivia #8days","status",NA,NA,2,3,0,0,0,0,0,0
"repjimrenacci","187639524595278_1731346350224580","Congressman Jim Renacci","2017-01-13","2017-01-13 14:42:05","This week, I introduced my Budget Enforcement Awareness Resolution to hold Congress accountable to the budgets it sets.","link","http://renacci.house.gov/index.cfm/2017/1/renacci-introduces-budget-enforcement-awareness-resolution","renacci.house.gov",13,1,0,2,0,0,0,0
"repjimrenacci","187639524595278_1731500976875784","Congressman Jim Renacci","2017-01-13","2017-01-13 16:55:58","The Fiscal State of the Nation Resolution will provide members of Congress and the American people an annual update on the long-term financial health of the country. I'm proud to share that the American Institute of CPAs (AICPA) has announced its support for this resolution.  You can read my column on the need for this resolution in The Daily Record.","link","http://the-daily-record.com/opinion/2017/01/13/commentary-focusing-on-nations-financial-health","the-daily-record.com",10,4,0,1,0,0,0,0
"repjimrenacci","187639524595278_1731625226863359","Congressman Jim Renacci","2017-01-13","2017-01-13 17:02:23","How many first ladies have been born in Ohio? #OHinauguraltrivia #7days","status",NA,NA,2,3,0,0,0,0,0,0
"repjimrenacci","187639524595278_1731839450175270","Congressman Jim Renacci","2017-01-13","2017-01-13 18:51:52","In remembrance and celebration of the 2017 Martin Luther King Jr. Day, the Cleveland Clinic hosted an interfaith service with Reverend Dr. Todd C. Davidson who is the Senior Pastor of Cleveland’s historic Antioch Baptist Church. Following the service, there was a community breakfast and program where Dr. Toby Cosgrove from Cleveland Clinic presented the Lifetime of Service Award to Calvin D. Williams, Chief of Police, City of Cleveland.   The keynote speaker was Johnnetta Betsch Cole, PhD, the Director of National Museum of African Art, Smithsonian Institution since 2009. It was an honor for my staff to be in attendance and to celebrate the life of Martin Luther King, Jr.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1731837706842111/?type=3",NA,6,0,1,0,0,0,0,0
"repjimrenacci","187639524595278_1734436433248905","Congressman Jim Renacci","2017-01-14","2017-01-14 17:52:45","Which Ohioan was president for only 31 days? #OHinauguraltrivia #6days","status",NA,NA,4,5,0,0,0,0,0,0
"repjimrenacci","187639524595278_1738685379490677","Congressman Jim Renacci","2017-01-16","2017-01-16 13:42:39","Today, we remember and celebrate the life of Dr. Martin Luther King Jr. Let us honor his legacy and remember the trials and struggles he and countless others endured to advance freedom and equality for all Americans.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1738685379490677/?type=3",NA,27,0,6,0,0,0,0,0
"repjimrenacci","187639524595278_1738966996129182","Congressman Jim Renacci","2017-01-16","2017-01-16 18:16:17","Which Ohian was a general before becoming president? #OHinauguraltrivia #4days","status",NA,NA,2,5,0,0,0,0,0,0
"repjimrenacci","187639524595278_1740164126009469","Congressman Jim Renacci","2017-01-17","2017-01-17 16:18:31","Today, I had the pleasure to speak to the AP government students at Holy Name High School in Parma Heights and to interview with its school newspaper's staff. I talked about the importance of education, giving back to your community, and opportunity for all.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1740163019342913/?type=3",NA,15,0,0,0,0,0,0,0
"repjimrenacci","187639524595278_1741687672523781","Congressman Jim Renacci","2017-01-18","2017-01-18 19:57:57","Which president from Ohio is buried in America’s largest mausoleum? #OHinauguraltrivia #2days","status",NA,NA,2,3,0,0,0,0,0,0
"repjimrenacci","187639524595278_1741796462512902","Congressman Jim Renacci","2017-01-18","2017-01-18 21:56:45","Today, my staff attended the Akron Press Club luncheon where The University of Akron President Matthew Wilson gave the keynote address. President Wilson spoke about the bright future he sees for the university and how student success is his number one priority. I look forward to working with President Wilson as he charts a new course for the University of Akron.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1741796462512902/?type=3",NA,9,0,0,0,0,0,0,0
"repjimrenacci","187639524595278_1741854255840456","Congressman Jim Renacci","2017-01-18","2017-01-18 22:31:12","Chelsea Manning was rightfully convicted on multiple accounts of espionage for her disclosure of classified and sensitive military documents. The commutation of her sentence by President Obama is shameful and embarrassing. It signals to the world that the U.S. will not hold those who threaten our national security accountable for their crimes. More importantly, her actions endangered the lives of our soldiers, and this soon-to-be-former President owes an apology to everyone who has served in our military.","status",NA,NA,183,38,53,7,0,2,0,19
"repjimrenacci","187639524595278_1743034945722387","Congressman Jim Renacci","2017-01-19","2017-01-19 20:20:25","Which Ohioan was the first (and only) president to be elected by a congressional commission? #OHinauguraltrivia #1day","status",NA,NA,3,3,0,0,0,0,0,0
"repjimrenacci","187639524595278_1743897875636094","Congressman Jim Renacci","2017-01-20","2017-01-20 14:54:27","Today we honor the peaceful transition of power from one president to the next and partake in a new chapter in our history. #Inauguration2017","status",NA,NA,47,7,0,3,0,0,1,2
"repjimrenacci","187639524595278_1744105568948658","Congressman Jim Renacci","2017-01-20","2017-01-20 18:24:35","Congratulations to the new President of the United States. I look forward to working with my fellow members of Congress and the President to serve the people of the 16th District, Ohio, and the United States.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1744105568948658/?type=3",NA,142,11,4,4,0,0,1,0
"repjimrenacci","187639524595278_1744590382233510","Congressman Jim Renacci","2017-01-21","2017-01-21 02:56:27","Currently enjoying the Liberty Ball with Tina","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1744590382233510/?type=3",NA,199,13,3,8,0,0,0,1
"repjimrenacci","187639524595278_1748908578468357","Congressman Jim Renacci","2017-01-23","2017-01-23 22:34:39","This week is School Choice Week. As a father of three, I know that education is a deeply personal experience for many families. Our children and their parents deserve more opportunity and flexibility when it comes to their education and choosing quality schools that meet their needs.   I believe reforms to our education system are needed. We need to take a more intelligent and innovative approach to our children’s education if we are to provide the skills and knowledge necessary for the next generation to succeed. I look forward to working with the administration in promoting high quality charter schools that provide parents and students more choices in their K-12 education.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1748908578468357/?type=3",NA,18,9,2,1,0,0,1,1
"repjimrenacci","187639524595278_1748914475134434","Congressman Jim Renacci","2017-01-23","2017-01-23 22:36:42","Tune in to NBC Nightly News with Lester Holt tonight at 7:00 P.M. I will be sharing my personal experience with identity theft and what I am doing in Congress to combat this increasingly common crime.","status",NA,NA,31,4,3,0,0,0,0,0
"repjimrenacci","187639524595278_1750575624968319","Congressman Jim Renacci","2017-01-24","2017-01-24 20:27:47","Check out my appearance on Fox 8 News. I talked about my opinion on Donald Trump's first days as president and the pace at which his administration will work.","video","https://www.facebook.com/repjimrenacci/videos/1750575624968319/",NA,55,11,3,2,0,0,0,2
"repjimrenacci","187639524595278_1750688661623682","Congressman Jim Renacci","2017-01-24","2017-01-24 21:56:32","Today I was proud to join my colleagues in passing the No Taxpayer Funding for Abortion Act.   Currently, the Hyde Amendment prohibits taxpayer funding to pay for abortions, but it only applies to select government agencies and must be renewed on an annual basis. This legislation does three important things. First, it makes the Hyde Amendment and other abortion funding prohibitions permanent and government-wide except in the case of incest, rape, or if the life of the mother is in danger. Second, it ensures the Affordable Care Act conforms to the provisions of the Hyde Amendment.  And finally, until a new plan year begins, the bill requires each Obamacare health insurance plan to provide full transparency on the extent to which it uses taxpayer funds for abortion.   According to two recent studies by the Lozier Institute and the Knights of Columbus, two million Americans are alive today due to the Hyde Amendment and more than 60% of Americans believe that tax dollars should not fund abortions, including 4 in 10 Clinton voters. Life is a precious gift and I look forward to working this Congress to pass further pro-life initiatives.","status",NA,NA,149,31,12,15,0,1,0,13
"repjimrenacci","187639524595278_1750710614954820","Congressman Jim Renacci","2017-01-24","2017-01-24 22:19:16","Last night, NBC Nightly News with Lester Holt aired a segment on identity theft and interviewed several of its victims. I was a victim of identity theft during the 2015 filing season, and I shared my story and how it led me to introduce a bill to combat this increasingly common crime.","video","https://www.facebook.com/repjimrenacci/videos/1750710614954820/",NA,22,3,4,0,0,0,0,2
"repjimrenacci","187639524595278_1752312504794631","Congressman Jim Renacci","2017-01-25","2017-01-25 19:37:55","At today’s KNOW (Knowledgeable Network of Women) hosted by Greater Akron Chamber, my staff met Leanne Cannon, a motivational speaker who shared an inspiring personal story and ways to make 2017 your year!","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1752312504794631/?type=3",NA,8,1,1,1,0,0,0,0
"repjimrenacci","187639524595278_1752409914784890","Congressman Jim Renacci","2017-01-25","2017-01-25 21:26:25","Yesterday, the Canton SCORE Chapter hosted an event for non-profits titled Board Basics: The Meaning and Legal Obligations of Non-profits. The mentors at SCORE help non-profit and for-profit businesses.   Since their inception in 2013, the Canton SCORE Chapter has assisted 124,617 aspiring and existing small business owners.  This service is available to help open a business, grow your business, and/or assist your nonprofit organization.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1752409914784890/?type=3",NA,3,0,0,0,0,0,0,0
"repjimrenacci","187639524595278_1752477478111467","Congressman Jim Renacci","2017-01-25","2017-01-25 22:41:18","I introduced a bipartisan resolution recognizing January as National Mentoring Month. Growing up, I was fortunate to have the advice and support of my parents and mentors to help me succeed.   Not every child has that same support structure. This resolution recognizes the influence mentoring programs have in helping students realize their educational and career goals and brings awareness to the need for further mentorship programs throughout the country.","link","http://renacci.house.gov/index.cfm/2017/1/renacci-davis-introduce-resolution-recognizing-january-as-national-mentoring-month","renacci.house.gov",22,3,0,0,0,0,0,0
"repjimrenacci","187639524595278_1753398118019403","Congressman Jim Renacci","2017-01-26","2017-01-26 15:11:43","Yesterday, my office made 20 stops throughout western Wayne County. We visited libraries, schools, town halls, and several businesses. My staff was able to provide flyers on my upcoming Service Academy Day and Shreve Veterans’ Assistance event.   On February 22nd, my staff will be joined by the Wayne County Veterans Service Commission, Ohio Western Reserve National Cemetery, Cleveland VA Medical Center, and Cleveland Veterans Benefits Administration (VBA), U.S. Department of Veterans Affairs. We will be on hand to answer any veterans benefits questions, inquire about compensation claims, and explain preneed eligibility for burial and healthcare eligibility.   On March 25th, I will be hosting Rep. Renacci's 2017 Service Academy Day from 10:00-12:00 at Akron General Health & Wellness Center - Green.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1753390931353455/?type=3",NA,10,1,3,0,0,0,0,0
"repjimrenacci","187639524595278_1753665991325949","Congressman Jim Renacci","2017-01-26","2017-01-26 19:54:05","My staff attended the Wadsworth Area Chamber of Commerce Nonprofit Resource Fair at the Galaxy in Wadsworth.  We were able to meet representatives from over 40 area non-profit organizations which offer beneficial programs to our communities.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1753665867992628/?type=3",NA,14,0,0,0,0,0,0,0
"repjimrenacci","187639524595278_1754685834557298","Congressman Jim Renacci","2017-01-27","2017-01-27 15:33:08","My weekly column in The Wooster Daily Record is up. I'll be hosting a Service Academy Day on March 25th for students in Northeast Ohio interested in attending a United States Service Academy. You can read more about it in the column or by checking out the event page (Rep. Renacci's 2017 Service Academy Day).","link","http://the-daily-record.com/opinion/2017/01/27/commentary-service-academy-day-planned","the-daily-record.com",11,2,1,0,0,0,0,0
"repjimrenacci","187639524595278_1754776474548234","Congressman Jim Renacci","2017-01-27","2017-01-27 17:12:49","I firmly believe that life is a precious gift and that we must protect the sanctity of life. Today’s march is a reminder of the importance and dignity of every life, whether born or unborn, and our duty to protect all lives, especially the most vulnerable. #WhyWeMarch #MarchForLife","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1754776474548234/?type=3",NA,37,11,3,3,0,0,0,2
"repjimrenacci","187639524595278_1754926724533209","Congressman Jim Renacci","2017-01-27","2017-01-27 20:07:07","My staff had the pleasure of meeting Beth, Dolores, and Gary who stopped by our office after the #MarchForLife to discuss the importance of pro-life policies. Dolores mentioned that this was her 35th March for Life!","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1754926724533209/?type=3",NA,30,7,2,2,0,0,0,1
"repjimrenacci","187639524595278_1757310854294796","Congressman Jim Renacci","2017-01-29","2017-01-29 21:47:34","Above all else, the top priority of the federal government is to keep our nation safe for all Americans, and I have unequivocally supported full enforcement of our immigrant laws as well as enhanced vetting of individuals seeking to visit the United States from nations identified with terrorist activity, regardless of their ethnicity or religion.  As a nation of immigrants, founded on the bedrock principle of religious freedom, we must never impose religious tests of any kind on anyone, and it’s clear that President Trump’s Executive Order has not imposed one.   While I strongly encourage the Administration to examine more closely whether it is effectual and necessary to subject green card holders from these nations to this temporary order, I fully support our government's renewed commitment to keeping Americans of all faiths safe and free across our homeland.","status",NA,NA,186,91,15,14,0,0,1,37
"repjimrenacci","187639524595278_1759429564082925","Congressman Jim Renacci","2017-01-31","2017-01-31 14:41:28","I will be on Varney & Co. on Fox Business at 10:45 AM today to talk about President Trump's tax plan and legislation I am introducing in the House to help fund the border wall.","link","http://www.investors.com/politics/commentary/heres-a-way-to-make-mexico-pay-for-the-wall/","investors.com",45,57,11,2,0,0,1,15
"repjimrenacci","187639524595278_1760991563926725","Congressman Jim Renacci","2017-02-01","2017-02-01 18:51:01","I will be speaking on the floor of the House today at 2:40 PM regarding House Joint Resolution 38 to disapprove of the Obama Administration's over-reaching, non-transparent, and burdensome Stream Protection Rule. Tune in to C-SPAN to watch.","link","http://www.mariettatimes.com/opinion/letters-to-the-editor/2017/02/coal-jobs-must-be-protected-in-ohio/","mariettatimes.com",58,26,10,2,0,0,0,5
"repjimrenacci","187639524595278_1761266700565878","Congressman Jim Renacci","2017-02-01","2017-02-01 23:19:19","Today, my staff attended the Ribbon Cutting Ceremony for the grand opening of a new restaurant in Parma Heights, India Grill. I wish them the best of luck in their new business.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1761266700565878/?type=3",NA,19,4,1,1,0,0,0,0
"repjimrenacci","187639524595278_1762399663785915","Congressman Jim Renacci","2017-02-02","2017-02-02 21:16:23","Today, I urged my colleagues to disapprove the Social Security Administration’s rule to submit the names of millions of disability beneficiaries to the National Instant Background Check System. This rule does not allow for any meaningful due process protections and is so broadly written it inaccurately treats any individual with a mental health issue as violent and a danger to public safety.  Numerous mental health advocacy organizations including the National Alliance on Mental Illness and the National Council on Disability along with the American Civil Liberties Union (ACLU) have joined me in opposing this rule.","video","https://www.facebook.com/repjimrenacci/videos/1762399663785915/",NA,66,20,11,0,0,3,1,2
"repjimrenacci","187639524595278_1762410803784801","Congressman Jim Renacci","2017-02-02","2017-02-02 20:33:51","Today, my staff received a letter from a constituent of mine thanking them for helping her obtain Hardship Mail Delivery Service. A person can receive such service if the United States Postal Service determines an illness or handicap  would present a physical challenge for an individual to retrieve mail.  After initially being denied an accommodation, she reached out to my office, and we were more than happy to help her with her request. She wrote to us to say her new mailbox by her door was ""one of the best Christmas presents ever.""  If you know of anyone having difficulties with a federal agency or department, please direct them to my offices. While I cannot always guarantee a favorable outcome, I am pleased to help my constituents on these matters.","status",NA,NA,59,13,15,2,0,0,0,0
"repjimrenacci","187639524595278_1767465346612680","Congressman Jim Renacci","2017-02-06","2017-02-06 16:45:15","I will be hosting my annual Service Academy Day on March 25th for students interested in attending a U.S. Service Academy and learning how to become a competitive candidate.  If you know a student interested in attending a Service Academy, please direct them to the Facebook event page where they can learn more about Service Academy Day.","event","https://www.facebook.com/events/241499639622054/",NA,18,1,0,0,0,0,0,0
"repjimrenacci","187639524595278_1767636729928875","Congressman Jim Renacci","2017-02-06","2017-02-06 19:30:52","Today is the 106th birthday of President Ronald Reagan. As we remember the life of this great president today, we remember a man with an unwavering commitment to freedom, boundless optimism for the future, and a strong belief in limited government. Despite the passage of time, our nation will never forget his legacy and will always be indebted to him for his service to our country.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1767636729928875/?type=3",NA,25,4,2,2,0,0,0,0
"repjimrenacci","187639524595278_1767771216582093","Congressman Jim Renacci","2017-02-06","2017-02-06 21:51:32",NA,"photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1767771216582093/?type=3",NA,7,4,4,0,0,1,0,0
"repjimrenacci","187639524595278_1767772696581945","Congressman Jim Renacci","2017-02-06","2017-02-06 21:54:08","Glad to have the support of the Committee For a Responsible Federal Budget for my Budget Enforcement Awareness Resolution. It's time to improve financial transparency and accountability in Washington.","link","http://www.crfb.org/blogs/congressman-renacci-introduces-%E2%80%9Cbudget-enforcement-awareness-resolution%E2%80%9D#.WJjiabQLeMR.twitter","crfb.org",8,4,0,1,0,0,0,0
"repjimrenacci","187639524595278_1767778126581402","Congressman Jim Renacci","2017-02-06","2017-02-06 22:08:39","I stopped by Cleveland 19 News last Friday to talk about the first two weeks of the Trump Administration. We talked about the President's immigration executive order, sanctions on Iran, his proposed wall on the U.S.-Mexico Border, and bipartisanship.","video","https://www.facebook.com/repjimrenacci/videos/1767778126581402/",NA,33,7,10,1,0,0,0,0
"repjimrenacci","187639524595278_1768651273160754","Congressman Jim Renacci","2017-02-07","2017-02-07 13:31:58","My staff had the pleasure of attending an employee appreciation ceremony at YRC Freight in Copley. Driver Don Robinson achieved the rare and remarkable benchmark of 4 Million Safe Miles driven. Of the tens of thousands of drivers in the YRC system, only about 2 dozen have accomplished this. The Ohio State Highway Patrol also thanked Don and the company for their extraordinary cooperation with the State Patrol in hosting safety schools. YRC is the merged company of former Yellow and Roadway freight companies.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1768650526494162/?type=3",NA,25,3,6,1,0,0,0,0
"repjimrenacci","187639524595278_1768656486493566","Congressman Jim Renacci","2017-02-07","2017-02-07 16:30:01","My staff had the pleasure of attending the weekly Pro Football Hall of Fame luncheon. Denison University basketball coach Bob Ghiloni gave a notable speech regarding teaching values to today's young millennials.   The Hall of Fame luncheon has had nearly every well-known sports figure speak there in its 54 year history. Several hundred attended Monday.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1768656486493566/?type=3",NA,3,7,0,0,0,0,0,0
"repjimrenacci","187639524595278_1768713083154573","Congressman Jim Renacci","2017-02-07","2017-02-07 19:47:02","As a former Mayor, I know the importance of our local officials and attending monthly council meetings. Last night, my staff was present at the Village of Creston council meeting. Also in attendance were about 14 local Cub Scouts from Troop 3455 to observe and learn about local government.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1768713083154573/?type=3",NA,18,5,0,0,0,0,0,1
"repjimrenacci","187639524595278_1768827936476421","Congressman Jim Renacci","2017-02-08","2017-02-08 17:00:03","Every summer the United States Coast Guard Academy offers high school seniors the opportunity to experience academy life during a 6 day program called Academy Introduction Mission. AIM allows prospective students to be exposed to both the academic and day-to-day challenges that a service academy cadet will face.   My office is hosting an Academy Day on March 25th where you will be able to learn more about the entire academy nomination process from both congressional staffers and service academy representatives.","photo","https://www.facebook.com/repjimrenacci/photos/a.705645446128014.1073741888.187639524595278/1768827719809776/?type=3",NA,4,2,0,0,0,0,0,0
"repjimrenacci","187639524595278_1768832856475929","Congressman Jim Renacci","2017-02-07","2017-02-07 16:50:44","I stopped by WKYC Channel 3 - Cleveland last Friday to talk about the president's new sanctions on Iran and his immigration executive order.","video","https://www.facebook.com/repjimrenacci/videos/1768832856475929/",NA,11,10,4,0,0,1,0,0
