"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"repjoecrowley","176197712425090_1375325842512265","Rep. Joe Crowley","2017-01-01","2017-01-01 05:05:00","Happy New Year, everyone!!","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1375325842512265/?type=3",NA,109,11,3,8,0,0,0,0
"repjoecrowley","176197712425090_1388594677852048","Rep. Joe Crowley","2017-01-03","2017-01-03 21:00:18","Homelessness must be seen as more than a political problem - it is a moral imperative. And our city needs a serious course correction in how this problem is prevented and addressed. ICYMI, here’s an op-ed I penned for NY Slant on what needs to be done to keep more families and individuals in their homes, and help those who are forced out find viable, permanent housing.","link","http://nyslant.com/article/opinion/new-york-city-must-do-better-for-the-homeless-in-2017.html","nyslant.com",111,9,23,4,0,0,4,0
"repjoecrowley","176197712425090_1389735974404585","Rep. Joe Crowley","2017-01-05","2017-01-05 00:12:46","I’m thrilled the @USArmy will change its religious accommodation policy, further opening the door to let Sikh Americans and others serve while abiding by their articles of faith. We are a stronger country, with a stronger military, because of our respect for religious and personal freedom. This is a change I’ve long pushed for in a bipartisan way and I applaud all those who have worked so hard to make this day possible. #LetSikhsServe","link","http://crowley.house.gov/press-release/chairman-crowley-cheers-changes-us-army-religious-accommodation-policy-further-opening","crowley.house.gov",77,3,4,0,0,0,0,0
"repjoecrowley","176197712425090_1390311227680393","Rep. Joe Crowley","2017-01-05","2017-01-05 18:13:02","Republicans' plan to repeal the Affordable Care Act will #MakeAmericaSickAgain by taking health care away from millions of Americans & increasing costs for millions more.   Over the last 6 years, 939,000 New Yorkers have gained health coverage thanks to the Affordable Care Act. That's something to protect, not take away.","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1390311227680393/?type=3",NA,61,6,5,0,0,0,0,0
"repjoecrowley","176197712425090_1391167080928141","Rep. Joe Crowley","2017-01-06","2017-01-06 14:05:57","Deseándoles paz y felicidad. ¡Feliz Dia de Reyes! To all those celebrating, wishing you peace and happiness. Happy Three Kings Day!","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1391167080928141/?type=3",NA,48,3,40,4,0,0,0,0
"repjoecrowley","176197712425090_1391522444225938","Rep. Joe Crowley","2017-01-06","2017-01-06 22:04:47","Every child deserves the opportunity to start their financial future on the right foot. That’s why I introduced legislation to create USAccounts, a program where savings can start on day one. I’m thrilled the City is now taking steps to help do the same. The Child Savings Account initiative will help put higher education within reach for countless families and I’m thrilled it will be kicking off its pilot program in Queens.","link","https://www.dnainfo.com/new-york/20170105/astoria/nyc-child-savings-account-college-funding-queens-district-30-nyc-kids-rise","dnainfo.com",78,2,9,7,0,0,0,0
"repjoecrowley","176197712425090_1392154720829377","Rep. Joe Crowley","2017-01-07","2017-01-07 15:11:04","Keeping NYPD Det. Steven McDonald and his family in my thoughts and prayers during this very difficult time.","link","http://www.nydailynews.com/new-york/paralyzed-nypd-detective-suffers-major-heart-attack-home-article-1.2938346","nydailynews.com",140,20,18,14,2,3,63,0
"repjoecrowley","176197712425090_1395398363838346","Rep. Joe Crowley","2017-01-11","2017-01-11 02:15:20","8 years ago President Obama inspired a movement that said “yes we can” and today we are a stronger nation because of him. #Obamafarewell","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1395398363838346/?type=3",NA,157,9,16,21,0,0,1,0
"repjoecrowley","176197712425090_1395983453779837","Rep. Joe Crowley","2017-01-11","2017-01-11 15:22:26","The only wall #Trump is putting up is the one between him and the interests of hardworking Americans. Here’s why President Elect Trump, the King of Conflicts, must put the American people ahead of his business interests → https://www.youtube.com/watch?v=qtVz62r8sSY","video","https://www.youtube.com/watch?v=qtVz62r8sSY",NA,99,13,15,0,0,0,0,2
"repjoecrowley","176197712425090_1395984023779780","Rep. Joe Crowley","2017-01-11","2017-01-11 17:00:00","GOP health plan ↓     √ Take away health security from millions √ Replace it w/ nothing  √ #MakeAmericaSickAgain","video","https://www.youtube.com/watch?v=wnalpFYk2nM&feature=youtu.be",NA,20,5,4,1,0,0,1,10
"repjoecrowley","176197712425090_1398202940224555","Rep. Joe Crowley","2017-01-16","2017-01-16 14:02:00","Let us honor the dream and the incredibly powerful legacy of the ever-inspirational Dr. Martin Luther King, Jr. #MLKDay2017","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1398202940224555/?type=3",NA,115,10,21,13,0,0,0,0
"repjoecrowley","176197712425090_1398444716867044","Rep. Joe Crowley","2017-01-13","2017-01-13 22:49:32","I just voted NO on House Republicans' dangerous bill to strip quality and affordable #health care from 30 million Americans and increase costs for millions more. My full statement → http://bit.ly/2ilUauL","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1398444716867044/?type=3",NA,239,23,10,17,0,0,0,0
"repjoecrowley","176197712425090_1399163376795178","Rep. Joe Crowley","2017-01-14","2017-01-14 15:49:58","John Lewis​' ""talk"" has done more for our country than Trump ever has or will. #IStandWithJohnLewis","link","http://www.politico.com/story/2017/01/trump-john-lewis-233630","politico.com",266,41,52,38,0,1,2,7
"repjoecrowley","176197712425090_1404379042940278","Rep. Joe Crowley","2017-01-19","2017-01-19 18:15:01","Americans want a POTUS that stands to protect women & all Americans. PEOTUS Trump, the time to #ProtectOurCare is now. #WomenAreWatching","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1404379042940278/?type=3",NA,70,13,2,0,1,1,0,0
"repjoecrowley","176197712425090_1404527266258789","Rep. Joe Crowley","2017-01-19","2017-01-19 22:03:10","Republicans’ drive to repeal the Affordable Care Act will have devastating consequences for millions of Americans, including seniors, who have benefited from key improvements made to Medicare. This week, I had the opportunity to visit the Woodside Senior Center to discuss the many ways repealing our health care law would destroy Medicare and hurt seniors.","link","http://crowley.house.gov/press-release/chairman-crowley-meets-seniors-woodside-discuss-how-republicans-repeal-health-care-law","crowley.house.gov",88,13,11,2,0,0,6,5
"repjoecrowley","176197712425090_1405073496204166","Rep. Joe Crowley","2017-01-20","2017-01-20 13:15:27","It has been such an honor to serve with President Obama. #YesWeCan #YesWeDid #YesWeWill","link","https://www.google.com/amp/amp.timeinc.net/time/4639418/president-obama-final-thank-you-letter/%3Fsource%3Ddam?client=safari","google.com",239,11,21,26,1,1,0,0
"repjoecrowley","176197712425090_1406342979410551","Rep. Joe Crowley","2017-01-21","2017-01-21 15:13:24","Instead of staying true to the oath of office (and his promises) to protect all Americans, President Trump decided to join Republicans in their effort to #MakeAmericaSickAgain #ProtectOurCare  http://nyti.ms/2iWSQdp","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1406342979410551/?type=3",NA,108,11,7,5,0,0,6,3
"repjoecrowley","176197712425090_1410415935669922","Rep. Joe Crowley","2017-01-24","2017-01-24 15:32:16",NA,"video","https://www.facebook.com/HouseDemocrats/videos/10154848986143548/",NA,59,20,0,5,0,1,0,4
"repjoecrowley","176197712425090_1411977708847078","Rep. Joe Crowley","2017-01-25","2017-01-25 17:39:30","The only wall President Trump and Republicans are building is between them and American values. #Immigrants make our country stronger everyday. Local communities know that #immigrants are part of us. President Trump's executive order hurts public safety. #HeretoStay","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1411977708847078/?type=3",NA,138,11,21,17,3,1,0,0
"repjoecrowley","176197712425090_1412261662152016","Rep. Joe Crowley","2017-01-25","2017-01-25 22:12:25","Butch Trucks of the Allman Brothers had it all: timing, touch, instinct, and passion. It was a highlight to have met him. He will be missed. My thoughts go out to Butch's family and friends.","link","http://rol.st/2kiO3F6","rol.st",41,4,6,1,0,0,16,0
"repjoecrowley","176197712425090_1413294585382057","Rep. Joe Crowley","2017-01-26","2017-01-26 20:50:59","President Trump's executive orders are an inhumane attack on #immigrant families and communities. If the president was actually serious about tackling our nation’s broken immigration system, he would join House Democrats in supporting comprehensive reform that strengthens border security in an intelligent way. NY1","video","https://www.facebook.com/repjoecrowley/videos/1413294585382057/",NA,2315,395,3338,288,18,18,15,91
"repjoecrowley","176197712425090_1414147888630060","Rep. Joe Crowley","2017-01-27","2017-01-27 15:57:58","It’s imperative that we examine the health impacts of airplane noise to adequately identify mitigation measures for the surrounding communities of our airports. For too long they’ve had to endure the deafening roar of airplanes flying by and we owe it to them to determine just how big a toll it has taken on them. That’s why I’m proud to join my colleagues in reintroducing legislation that will do just that.","link","http://crowley.house.gov/press-release/chairman-crowley-co-sponsors-airplane-impacts-mitigation-act-2017","crowley.house.gov",38,2,5,0,0,0,0,0
"repjoecrowley","176197712425090_1414412401936942","Rep. Joe Crowley","2017-01-27","2017-01-27 21:58:22","Now is your chance to sign up for quality and affordable health coverage before the January 31 deadline. #CoverageMatters → https://goo.gl/932hBR","link","https://goo.gl/932hBR","goo.gl",33,1,13,1,0,0,0,0
"repjoecrowley","176197712425090_1414461348598714","Rep. Joe Crowley","2017-01-27","2017-01-27 23:17:46","It’s unconscionable that President Trump would close the door to the desperate children, families, and elderly who have been forced to flee their homes and countries because of unspeakable acts of violence and war. As a country, we are better than this and should not accept the Trump administration’s thinly-veiled intolerance as anything but Islamophobia: http://go.usa.gov/x9AHY","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1414461348598714/?type=3",NA,157,28,37,4,1,0,8,2
"repjoecrowley","176197712425090_1415209891857193","Rep. Joe Crowley","2017-01-28","2017-01-28 16:19:16","Speaker Paul Ryan & Vice President Mike #Pence, you have a chance to stand up to bigotry and hate. You did so last year. Why not now? cc: House Republicans","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1415203805191135/?type=3",NA,442,50,567,21,1,3,5,48
"repjoecrowley","176197712425090_1415768578467991","Rep. Joe Crowley","2017-01-29","2017-01-29 02:51:00","BREAKING: Federal court granted a nationwide stay against @POTUS’ unlawful #MuslimBan. Make no mistake, the fight continues. We must protect ALL, including #refugees — children, women, and the elderly — fleeing war-torn regions. #NoBanNoWall","link","https://www.nytimes.com/2017/01/28/us/refugees-detained-at-us-airports-prompting-legal-challenges-to-trumps-immigration-order.html?action=Click&contentCollection=BreakingNews&contentID=64852098&pgtype=Homepage&_r=0","nytimes.com",88,8,20,11,0,1,1,3
"repjoecrowley","176197712425090_1416731868371662","Rep. Joe Crowley","2017-01-29","2017-01-29 21:10:55","Make no mistake, Donald #Trump might be President but he answers to you: the millions of voices who choose love over hate. #NoBanNoWall","video","https://www.facebook.com/repjoecrowley/videos/1416731868371662/",NA,466,48,163,65,0,2,0,0
"repjoecrowley","176197712425090_1417946538250195","Rep. Joe Crowley","2017-01-30","2017-01-30 22:09:16","For those with disabilities and other medical conditions, complex rehabilitation technology products such as specialized power wheelchairs and adaptive seating systems, are vital necessities. That’s why I reintroduced legislation that ensures they have access to the highly specialized medical equipment needed in their day-to-day lives.","link","http://crowley.house.gov/press-release/chairman-crowley-announces-legislation-improve-access-specialized-rehabilitation","crowley.house.gov",79,5,11,4,0,0,0,0
"repjoecrowley","176197712425090_1417969361581246","Rep. Joe Crowley","2017-01-30","2017-01-30 23:11:17","Democrats are taking a stand against Trump’s #MuslimBan from the steps of the Supreme Court and I’m proud to join them! #NoBanNoWall","video","https://www.facebook.com/repjoecrowley/videos/1417969361581246/",NA,383,71,117,69,1,1,2,6
"repjoecrowley","176197712425090_1418757454835770","Rep. Joe Crowley","2017-01-31","2017-01-31 15:47:23",NA,"video","https://www.facebook.com/HouseDemocrats/videos/10154872317353548/",NA,51,4,0,3,1,0,0,1
"repjoecrowley","176197712425090_1418842561493926","Rep. Joe Crowley","2017-01-31","2017-01-31 17:15:23","You + #ACA deadline at midnight = #GetCovered → goo.gl/932hBR","link","https://goo.gl/932hBR","goo.gl",10,1,8,0,0,0,0,0
"repjoecrowley","176197712425090_1419039351474247","Rep. Joe Crowley","2017-01-31","2017-01-31 20:36:49","Not an #alternativefact.","link","http://thehill.com/homenews/house/317129-house-dem-chairman-trump-is-a-coward","thehill.com",364,49,47,33,3,0,0,0
"repjoecrowley","176197712425090_1420370884674427","Rep. Joe Crowley","2017-02-01","2017-02-01 22:24:27","The Holocaust targeted the Jewish people and six million perished. Will congressional Republicans stand up to President Donald J. Trump and acknowledge this fact? I’ve introduced legislation to reaffirm Congress’ belief that it is the indisputable fact that the Nazi regime targeted the Jewish people.","link","http://thehill.com/homenews/house/317426-dems-pressure-gop-over-trumps-holocaust-remembrance-statement","thehill.com",116,16,18,7,0,1,0,4
"repjoecrowley","176197712425090_1421420494569466","Rep. Joe Crowley","2017-02-02","2017-02-02 19:20:09","Mr. Khan, I consider you a great friend and American. What has made America great is our freedoms and they’re in grave danger. As a country, we should not accept the Trump administration’s thinly-veiled intolerance as anything but Islamophobia. #NoBanNoWall","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1421419077902941/?type=3",NA,178,15,11,12,0,0,0,2
"repjoecrowley","176197712425090_1422502441127938","Rep. Joe Crowley","2017-02-03","2017-02-03 16:01:46","I hope House Republicans will join the more than 100 House Democrats in setting the record straight: the Holocaust targeted Jewish people and the #Trump Administration must acknowledge this fact. Full statement → http://bit.ly/2jLjBlh","link","http://www.politico.com/story/2017/02/white-house-holocaust-jews-234572","politico.com",133,11,117,2,0,0,8,16
"repjoecrowley","176197712425090_1422826811095501","Rep. Joe Crowley","2017-02-03","2017-02-03 22:42:55","In honor of Black History Month 2017, I’ll be paying tribute each Friday to African American New Yorkers who have blazed a trail for others not only in our great city but around the country. Today, we honor Corona’s very own Marie Maynard Daly, a Queens College​ alum who earned a PhD in Chemistry from Columbia University in 1947, becoming the first African American woman to do so. Daly conducted critical research that resulted in a better understanding of how foods and diet can affect heart health. But her work didn’t stop there. She was a lifelong advocate of increasing minority participation in the sciences and her impact can be felt to this day. #BHM2017","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1422826811095501/?type=3",NA,97,1,37,10,0,1,0,0
"repjoecrowley","176197712425090_1423029277741921","Rep. Joe Crowley","2017-02-04","2017-02-04 03:13:40","I'm encouraged by the news of yet another decision blocking President Trump's unlawful and unconscionable #MuslimBan. Make no mistake, it's not over. The fight continues. #NoBanNoWall","link","https://www.washingtonpost.com/world/national-security/federal-judge-temporarily-blocks-trumps-immigration-order-nationwide/2017/02/03/9b734e1c-ea54-11e6-bf6f-301b6b443624_story.html?utm_term=.f1112b63999c","washingtonpost.com",163,13,13,19,0,0,0,1
"repjoecrowley","176197712425090_1425801614131354","Rep. Joe Crowley","2017-02-06","2017-02-06 15:51:43","#FGM is a violation of human rights and it affects girls right here in the United States. We must do everything we can to #EndFGM and protect young girls and women from this harmful practice. Read my full statement → http://go.usa.gov/x9Fcf  #ZeroToleranceOnFGM","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1425801614131354/?type=3",NA,26,1,0,1,0,0,0,0
"repjoecrowley","176197712425090_1426026090775573","Rep. Joe Crowley","2017-02-06","2017-02-06 20:40:11","Rep. Linda Sánchez and I are looking forward to hosting House Democrats for our #FightingForAll policy conference this week. House Democrats are ready to fight for Americans’ health care, jobs, and security!","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1426026090775573/?type=3",NA,16,4,0,2,0,0,0,0
"repjoecrowley","176197712425090_1427057420672440","Rep. Joe Crowley","2017-02-07","2017-02-07 17:48:45","Republican majority just proved that party matters to them more than our country and our children.","link","https://www.nytimes.com/interactive/2017/02/07/us/politics/betsy-devos-confirmation-vote.html?smid=tw-nytimes&smtyp=cur&_r=0","nytimes.com",164,69,448,3,3,2,104,168
"repjoecrowley","176197712425090_1427125393998976","Rep. Joe Crowley","2017-02-07","2017-02-07 19:03:24","Last week The White House purposely failed to mention the 6 million Jewish people killed in the #Holocaust. This week, House Republicans doubled-down!","video","https://www.facebook.com/repjoecrowley/videos/1427125393998976/",NA,32,9,7,1,1,0,4,8
"repjoecrowley","176197712425090_1428357117209137","Rep. Joe Crowley","2017-02-08","2017-02-08 18:43:24",NA,"video","https://www.facebook.com/HouseDemocrats/videos/10154896558283548/",NA,48,4,0,5,0,0,0,0
"repjoecrowley","176197712425090_1429601857084663","Rep. Joe Crowley","2017-02-10","2017-02-10 00:58:35","‪Two fighters for justice, diversity, & love at tonight's #FightingForAll dinner! Thank you, John Lewis & Kareem Abdul-Jabbar!‬","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1429601857084663/?type=3",NA,126,2,23,11,0,0,0,0
"repjoecrowley","176197712425090_1430140057030843","Rep. Joe Crowley","2017-02-10","2017-02-10 15:58:02","We are thrilled to have Chelsea Handler help close our #FightingForAll policy conference today!","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1430140057030843/?type=3",NA,194,18,10,16,0,2,0,0
"repjoecrowley","176197712425090_1430144630363719","Rep. Joe Crowley","2017-02-10","2017-02-10 17:00:55","Wow! These women can sing. Huge thank you to GW Sirens and Capital Blend for their powerful message about using your voice. #FightingForAll #WomensMarch","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1430144630363719/?type=3",NA,60,3,6,6,1,0,0,0
"repjoecrowley","176197712425090_1430361560342026","Rep. Joe Crowley","2017-02-10","2017-02-10 21:31:07","As I explain in this week's Democratic Address, President Trump’s unconstitutional #MuslimBan has dismissed everything America stands for. But, I promise you we will fight back—we will #resist. We will resist on behalf of what is American. This is about our democracy, our country, and our people. This is a fight for the future.","video","https://www.facebook.com/repjoecrowley/videos/1430361560342026/",NA,329,112,118,29,1,0,0,14
"repjoecrowley","176197712425090_1430487703662745","Rep. Joe Crowley","2017-02-11","2017-02-11 00:04:08","In honor of Black History Month, I have been taking a moment each Friday to highlight the contributions and achievements of African-American New Yorkers. Today, let us honor the memory of Dr. Roscoe Brown, a decorated Tuskegee Airman and former educator. Dr. Brown led an exceptional life. He served our country during World War II, flying 68 combat missions and earning a Distinguished Flying Cross for his bravery and skill. As a member of the Tuskegee Airmen, he wasn’t just fighting for freedom abroad; he was blazing trails in race relations and changing hearts and minds back home. He returned a hero and continued to serve our nation through a commitment to education: earning his doctorate, directing the Institute of Afro-American Affairs at NYU, and ultimately serving as president of Bronx Community College. In 2007, he was recognized for his contributions and awarded the Congressional Gold Medal. #BHM2017","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1430487703662745/?type=3",NA,45,2,9,8,0,0,0,0
"repjoecrowley","176197712425090_1431564270221755","Rep. Joe Crowley","2017-02-12","2017-02-12 03:34:21","I'm continuing to follow up on rumors of ICE actions. Contact my office if you need help. And please, know your rights.   Seguiré estando pendiente de los rumores de las actividades de ICE. Contacte mi oficina si necesita asistencia, y por favor conozca sus derechos.","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1431564270221755/?type=3",NA,56,3,39,2,0,2,1,0
"repjoecrowley","176197712425090_1433741566670692","Rep. Joe Crowley","2017-02-14","2017-02-14 12:49:22","There's no question Michael Flynn needed to resign, but many critical questions remain, including what did President #Trump know and when? The American people demand and have the right to know the truth.","link","http://www.nbcnews.com/news/us-news/justice-department-warned-administration-michael-flynn-could-be-blackmailed-official-n720476?cid=sm_npd_nn_tw_ma","nbcnews.com",156,28,20,6,1,1,0,1
"repjoecrowley","176197712425090_1433867726658076","Rep. Joe Crowley","2017-02-14","2017-02-14 15:23:06",NA,"video","https://www.facebook.com/HouseDemocrats/videos/10154914847023548/",NA,66,1,0,4,0,0,0,0
"repjoecrowley","176197712425090_1434747349903447","Rep. Joe Crowley","2017-02-15","2017-02-15 13:55:05","We need an independent investigation. And we need it now.","link","https://www.nytimes.com/2017/02/14/us/politics/russia-intelligence-communications-trump.html?smid=tw-nytimes&smtyp=cur","nytimes.com",88,18,22,6,0,4,0,2
"repjoecrowley","176197712425090_1435125779865604","Rep. Joe Crowley","2017-02-15","2017-02-15 21:23:13","I just spoke on the House floor against House Republican efforts to block working Americans from saving their own money for their own #retirement. Republicans are out of touch. It’s time for a positive agenda for America that puts American workers and their families first. C-SPAN","video","https://www.facebook.com/repjoecrowley/videos/1435125779865604/",NA,79,4,9,6,0,1,0,1
"repjoecrowley","176197712425090_1435972773114238","Rep. Joe Crowley","2017-02-16","2017-02-16 16:17:24","I’m proud of my Legislative Assistant, Todd Sloves, the new president of the #LGBT Congressional Staff Association! http://bit.ly/2lbqC16","link","http://bit.ly/2lbqC16","bit.ly",146,7,1,11,0,0,0,0
"repjoecrowley","176197712425090_1436153836429465","Rep. Joe Crowley","2017-02-16","2017-02-16 19:58:23","As I said in last week’s Democratic Address, #Immigrants are some of the bravest people I know, because they choose to leave behind everything and face the unknown. They leave behind their neighborhoods, their schools, their churches, their synagogues, & mosques. They leave behind their homes. And they do it all because they seek the promise that the United States offers them. The promise of opportunity. #ADayWithoutImmigrants","link","http://www.npr.org/sections/thetwo-way/2017/02/16/515555428/a-day-without-immigrants-promises-a-national-strike-thursday","npr.org",92,11,12,7,0,0,0,1
"repjoecrowley","176197712425090_1437198082991707","Rep. Joe Crowley","2017-02-17","2017-02-17 16:19:36","Throughout Black History Month, we’ve been taking the time to honor the many contributions of African American New Yorkers. Today, we honor a Harlem resident who led an exceptional life: Sarah Breedlove, or, as she was better known as, Madam C. J. Walker. Walker was born into poverty in the Deep South during the Reconstruction Era, but through perseverance she grew a small business into a million-dollar enterprise. She employed thousands of black women, whose training she oversaw using the Walker Method, a successful sales strategy she innovated. As her business flourished, she gave sizable portions of her earnings to charities across the country, becoming a respected philanthropist. She inspired her daughters to use their inheritances for the public good as well. Her legacy is one of triumph and good will, and I am excited to share her story with you today. #BHM","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1437198082991707/?type=3",NA,47,1,6,3,0,0,0,0
"repjoecrowley","176197712425090_1437307569647425","Rep. Joe Crowley","2017-02-17","2017-02-17 18:13:38","Any investigation of the Trump administration's ties to #Russia must be met with a thorough, complete and impartial examination. Given Attorney General Sessions’ relationships with those who could be under investigation, we urge the AG to recuse himself going forward. #FollowTheFacts","link","http://wapo.st/2lefmRV","apo.st",200,18,94,9,1,1,1,5
"repjoecrowley","176197712425090_1438589486185900","Rep. Joe Crowley","2017-02-18","2017-02-18 20:56:10","On this National Day of Action, I stood united with House colleagues, healthcare providers and advocates to make our voices heard: we're not going let Republicans push millions of hardworking Americans onto the rolls of the uninsured. The ACA continues to bring real help to real people and we'll fight to #ProtectOurCare!","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1438589486185900/?type=3",NA,58,6,4,7,0,0,0,0
"repjoecrowley","176197712425090_1439553596089489","Rep. Joe Crowley","2017-02-19","2017-02-19 16:51:18","President Trump is showing us just how erratic he can be, so I asked, when will Republicans show any sign of resistance to this administration? Watch my interview with #Newsmakers at C-SPAN ‬↓","link","https://www.c-span.org/video/?424103-1%2Fnewsmakers-representative-joe-crowley","c-span.org",135,12,11,13,0,0,0,0
"repjoecrowley","176197712425090_1439594422752073","Rep. Joe Crowley","2017-02-19","2017-02-19 17:54:15","Let's be clear: House Democrats want to #ProtectOurCare. Republicans in Congress are on a mission to rip it away.  https://twitter.com/i/moments/833339793023045633","link","https://twitter.com/i/moments/833339793023045633","twitter.com",45,5,4,4,0,1,0,0
"repjoecrowley","176197712425090_1440824259295756","Rep. Joe Crowley","2017-02-20","2017-02-20 19:40:51","I'm looking forward to engaging with activists and members of the San Juan, Texas community on the need for #immigration reform that keeps our country safe while also keeping families together. You can watch the roundtable here: https://m.facebook.com/story.php?story_fbid=10154257801057371&id=60252632370","video","https://www.facebook.com/channel5news/videos/10154257801057371/",NA,29,3,0,2,0,0,0,0
"repjoecrowley","176197712425090_1441652519212930","Rep. Joe Crowley","2017-02-21","2017-02-21 16:08:27","The desecration of a Jewish cemetery in Missouri and a wave of threats against Jewish Community Centers across the nation are chilling reminders that hate crimes and prejudices against the Jewish people are on the rise in the United States. The White House must consistently condemn violence and threats against any group or individual because of their race, religion, disability, sexual orientation, ethnicity, gender, or gender identity. My full statement → http://go.usa.gov/x9J8w","link","http://go.usa.gov/x9J8w","go.usa.gov",63,9,9,0,0,0,13,11
"repjoecrowley","176197712425090_1441846399193542","Rep. Joe Crowley","2017-02-21","2017-02-21 20:29:56","Great having the opportunity to meet with the new NYPD 49th Pct Commanding Officer Captain Thomas Alps today! #Bronx","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1441846399193542/?type=3",NA,45,1,1,2,0,0,0,0
"repjoecrowley","176197712425090_1442703435774505","Rep. Joe Crowley","2017-02-22","2017-02-22 19:19:20","My office heard from constituents today who are concerned about President Trump's tax returns and ties to #Putin. Last week, I pressed the House Republican majority to join House Democrats in urging Trump to stop hiding from the American people! ↓","video","https://www.facebook.com/repjoecrowley/videos/1442703435774505/",NA,2769,493,2419,338,6,17,3,41
"repjoecrowley","176197712425090_1442849509093231","Rep. Joe Crowley","2017-02-22","2017-02-22 22:51:55","At a time when we need a president that protects all Americans, this action would give schools license to discriminate against #transgender kids. I will always fight to #protecttranskids and continue to move America toward equality. I #StandwithTransStudents.","link","https://www.nytimes.com/2017/02/22/us/politics/devos-sessions-transgender-students-rights.html?hp&action=click&pgtype=Homepage&clickSource=story-heading&module=first-column-region&region=top-news&WT.nav=top-news&_r=0","nytimes.com",73,12,8,3,0,1,11,22
"repjoecrowley","176197712425090_1443373139040868","Rep. Joe Crowley","2017-02-23","2017-02-23 14:29:57","There are few crimes more vile than threatening children, and these anti-Semitic threats against Jewish Community Centers are terrifying for our fellow Americans. The Trump administration, including the Secretary of the U.S Department of Homeland Security, the U.S. Attorney General, and the Director of the FBI – Federal Bureau of Investigation, must immediately announce their plans to investigate and stop these threats. I deeply appreciate the hard work of U.S. Congresswoman Stephanie Murphy in building bipartisan support for this effort. #nohate","link","http://www.dems.gov/chairman-crowley-rep-stephanie-murphy-call-doj-dhs-investigation-threats-jewish-community-centers/","dems.gov",82,4,11,5,0,0,0,2
"repjoecrowley","176197712425090_1443611749017007","Rep. Joe Crowley","2017-02-23","2017-02-23 20:34:02","To #transkids everywhere: I want you to know that you're not alone. There are laws & actions that are intolerant and unAmerican. We will #resist and get through this together. #ProtectTransKids","video","https://www.facebook.com/repjoecrowley/videos/1443611749017007/",NA,342,29,63,64,0,0,0,0
"repjoecrowley","176197712425090_1443885438989638","Rep. Joe Crowley","2017-02-24","2017-02-24 03:37:29","I am saddened by the passing of my dear friend and colleague former Rep. Eni Faleomavaega. Condolences to his family and friends. nyti.ms/2l5Laqi","link","http://nyti.ms/2l5Laqi","nyti.ms",26,1,0,0,0,0,26,0
"repjoecrowley","176197712425090_1444734462238069","Rep. Joe Crowley","2017-02-24","2017-02-24 22:48:12","President Trump has demonized Islam and the Muslim-American community since he first announced his campaign for the presidency — attacks that only continued after his inauguration. This rhetoric, along with the announced travel ban against seven predominantly Muslim countries, goes against everything we stand for as Americans.  This is why I’m so proud that Sarker Haque will be my guest at President Trump’s joint address next week. The victim of an anti-Muslim hate crime, Sarker is emblematic of the American dream. He immigrated to this country in search of a better life and now owns his own business in #Astoria. My full statement: http://bit.ly/2mtZw4P","photo","https://www.facebook.com/repjoecrowley/photos/a.188386447872883.48093.176197712425090/1444734462238069/?type=3",NA,213,23,16,30,0,0,0,0
