"screen_name","id","from_name","date","datetime","message","type","link","domain","likes_count","comments_count","shares_count","love_count","haha_count","wow_count","sad_count","angry_count"
"CongressmanBillFoster","102918290599_10154776967235600","Bill Foster","2017-01-03","2017-01-03 19:56:27","As the 115th Congress begins, we must resist Republican attempts to repeal the progress we have made for so many Americans, including the Affordable Care Act and financial regulations that protect working families. I strongly condemn any actions that would undo the legislation we passed for constituents in the 11th Congressional District and Americans across the country.","link","http://foster.house.gov/media-center/press-releases/foster-issues-statement-on-115th-congress","foster.house.gov",287,43,29,22,0,0,0,3
"CongressmanBillFoster","102918290599_10154782390305600","Bill Foster","2017-01-05","2017-01-05 17:23:47","The next SEC Chair needs to preserve the protections we have in place to protect working families. Since 2008, our economy has shown tremendous progress. As one of the authors of the Dodd-Frank Act, we implemented regulations to prevent another financial crisis and to protect consumers. I hope the next administration will maintain these regulations and work for the interests of all Americans, not just a wealthy few. The President-elect's pick will have to set aside years as a Wall Street insider to promote and maintain well-regulated, transparent markets and investor protections.","link","http://money.cnn.com/2017/01/04/investing/jay-clayton-sec-trump/index.html","money.cnn.com",35,8,7,1,0,0,4,8
"CongressmanBillFoster","102918290599_10154782698175600","Bill Foster","2017-01-05","2017-01-05 19:30:36","Proud to stand with my Democratic colleagues to speak out about the importance of the Affordable Care Act for women's health.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154782698175600/?type=3",NA,296,41,15,33,0,0,0,0
"CongressmanBillFoster","102918290599_10154792927915600","Bill Foster","2017-01-09","2017-01-09 14:50:30","In case you missed it, I joined Science Friday last week to discuss science in the 115th Congress. Check it out!","link","http://www.sciencefriday.com/segments/theres-a-science-advocate-in-the-house-of-representatives/","sciencefriday.com",142,13,17,13,0,0,0,0
"CongressmanBillFoster","102918290599_10154796002790600","Bill Foster","2017-01-10","2017-01-10 17:46:57","The science is clear and well documented - climate change is real. We cannot ignore the facts simply because it fits someone's political ideology. There is no such thing as politically correct science, only facts that require our immediate attention and action.","link","http://thehill.com/blogs/floor-action/house/313366-gop-chairman-uses-house-floor-speech-to-decry-nyt-column-as-fake","thehill.com",174,33,16,2,1,5,3,26
"CongressmanBillFoster","102918290599_10154806491350600","Bill Foster","2017-01-13","2017-01-13 21:10:28","Today, I voted against the disastrous Republican budget proposal that would add $9.5 trillion to the national debt and end health insurance for 30 million people. This budget is an unfortunate example of politicians who care more about partisan games than the well-being of Americans.","link","http://foster.house.gov/media-center/press-releases/foster-statement-on-the-passage-of-republican-budget","foster.house.gov",575,105,86,13,0,6,39,40
"CongressmanBillFoster","102918290599_10154820109930600","Bill Foster","2017-01-18","2017-01-18 16:26:53","On Wednesday, scientists reported that 2016 was the warmest year on record and that surface temperatures are heading toward levels that many scientists believe will pose a threat to both the natural world and to human civilization. This is yet more sobering data that confirms the reality of climate change.","link","http://www.nytimes.com/2017/01/18/science/earth-highest-temperature-record.html","nytimes.com",80,26,141,0,0,3,60,20
"CongressmanBillFoster","102918290599_10154835954470600","Bill Foster","2017-01-23","2017-01-23 14:34:17","I had a wonderful time with students this weekend the Neuqua Valley High School robotics tournament. Their work will pave the way for new innovations and technology in the future.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154835954470600/?type=3",NA,115,8,3,2,0,2,0,0
"CongressmanBillFoster","102918290599_10154842263690600","Bill Foster","2017-01-24","2017-01-24 20:36:46","Today, I spoke out on the House Floor against a bill that would severely limit access to quality health care for women. Women are more than capable of making health care decisions with their doctor without interference from legislators.","video","https://www.youtube.com/watch?v=g5iVvvaxzwE",NA,666,124,77,95,0,1,1,1
"CongressmanBillFoster","102918290599_10154846133420600","Bill Foster","2017-01-25","2017-01-25 19:21:53","I strongly condemn the building of a wall with Mexico and actions by the new administration to provoke fear within immigrant communities. We should be celebrating the innovation, culture, and diversity that immigrants from all walks of life bring to the United States. If President Trump wants to truly put America first, he will support immigrants and their families instead of demonizing them.","link","http://foster.house.gov/media-center/press-releases/foster-condemns-trump-s-wall-with-mexico-and-anti-immigration-policies","foster.house.gov",813,138,104,71,1,2,17,10
"CongressmanBillFoster","102918290599_10154846432575600","Bill Foster","2017-01-25","2017-01-25 21:16:29","I find it very troubling that President Trump is silencing our scientific community – including ordering the EPA to remove scientifically valid references to climate change from their website.  This isn’t how democracy is supposed to work. Scientists in business, academia, and National Laboratories need the freedom to conduct scientific inquires without fear of persecution.","link","http://foster.house.gov/media-center/press-releases/foster-condemns-trump-administration-s-attacks-on-science","foster.house.gov",1169,144,319,27,3,5,67,178
"CongressmanBillFoster","102918290599_10154851036280600","Bill Foster","2017-01-27","2017-01-27 14:30:42","I am proud to receive an A from the National Education Association. All students deserve a chance to succeed regardless of where they live.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154851036280600/?type=3",NA,335,22,22,37,0,0,0,0
"CongressmanBillFoster","102918290599_10154863070985600","Bill Foster","2017-01-31","2017-01-31 20:40:24","I strongly denounce President Trump's attempt to close our nation's doors to refugees seeking a better life in America.","link","http://foster.house.gov/media-center/press-releases/foster-statement-on-refugee-executive-order","foster.house.gov",613,94,47,69,3,0,3,13
"CongressmanBillFoster","102918290599_10154871920530600","Bill Foster","2017-02-03","2017-02-03 22:09:36","I am deeply concerned about President Trump’s assault on the financial reforms enacted after the 2008 economic crisis. President Trump often refers to himself as a champion of working Americans, but decisions like this suggest his top priority is catering to Wall Street executives and the financial companies responsible for the worst economic crisis since the Great Depression.","link","http://foster.house.gov/media-center/press-releases/foster-statement-on-financial-regulation-executive-orders","foster.house.gov",389,50,69,17,0,4,13,42
"CongressmanBillFoster","102918290599_10154875002550600","Bill Foster","2017-02-04","2017-02-04 22:38:41","Today, I was proud to join Senator Tammy Duckworth at the Islamic Center of Naperville to listen to members of our community share their concerns about President Trump's #MuslimBan and to discuss how we can work together to stand up for American values.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154875002005600/?type=3",NA,583,55,52,74,0,0,1,2
"CongressmanBillFoster","102918290599_10154880247810600","Bill Foster","2017-02-06","2017-02-06 17:46:51","I joined my Democratic colleagues this morning to call on the Trump Administration to preserve the Dodd Frank Wall Street Reform Act to prevent another financial collapse. Millions lost their homes and retirement savings - we cannot let it happen again.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154880247810600/?type=3",NA,418,37,31,24,0,0,0,3
"CongressmanBillFoster","102918290599_10154883625115600","Bill Foster","2017-02-07","2017-02-07 21:09:05","I stood with my colleagues today to recognize the importance of health care and the Affordable Care Act for children and their future.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154883625115600/?type=3",NA,254,21,5,23,0,0,0,0
"CongressmanBillFoster","102918290599_10154891340420600","Bill Foster","2017-02-10","2017-02-10 15:49:00","Yesterday's court decision affirms what we all know - the executive order is a bigoted attempt to enact a Muslim ban. I am encouraged by the stability the judicial system has imposed on this Administration. The President’s dismissal of our judiciary is deeply concerning, and I will do anything necessary to maintain the constitutional separation of powers.","link","https://www.nytimes.com/2017/02/09/us/politics/appeals-court-trump-travel-ban.html","nytimes.com",180,21,15,14,1,1,1,0
"CongressmanBillFoster","102918290599_10154891610755600","Bill Foster","2017-02-10","2017-02-10 17:52:36","On Monday, I am hosting a community discussion at the Islamic Center of Naperville on the impact that President Trump’s actions to bar immigrants from Muslim-majority countries have had on our own Muslim community – and the fear that these orders have provoked. I hope you’ll join us for a productive conversation with prominent local leaders. Visit foster.house.gov/executiveorder for more information and to register to attend.","photo","https://www.facebook.com/CongressmanBillFoster/photos/a.196631540599.167613.102918290599/10154891610755600/?type=3",NA,242,23,78,20,0,0,0,1
